19
# x y z
474.1	9940	0
499.62	9858.4	0
531.23	9919.3	0
571.7	9936.5	0
639.88	10025.7	0
643.26	9905.1	0
653.04	10046.5	0
689.97	10020.4	0
724.53	9891.5	0
797.36	9968.6	0
814.11	9994.5	0
892.06	9951.4	0
428.44	9896.3	0
516.6	9995.9	0
577.39	10006.7	0
613.4	9881.2	0
664.61	9960.9	0
747.63	9996.2	0
806.15	9917.8	0
446
# a b m n k rhoa
1	14	3	2	-5.82109842560336e+003	1.19157884772101e+001
1	14	6	4	4.91953305912332e+003	3.64414411354560e+001
1	14	8	5	5.01085872748585e+003	3.46425718124734e+001
1	14	9	6	2.49049869640436e+004	2.67853134798289e+001
1	14	18	8	1.39935366887627e+004	3.06668356534235e+001
1	14	11	10	1.12657054665885e+006	-8.56193615460722e+000
1	14	3	4	1.24828636289255e+003	5.76908025474421e+001
1	14	15	4	-1.00409631037084e+003	5.19137874387932e+001
1	14	6	16	-1.16152214980077e+004	3.79608668997887e+001
1	14	8	7	7.78370589372994e+003	3.11457207631710e+001
1	14	9	17	6.59414720404204e+003	3.03963809517522e+001
1	14	18	9	-1.68073863599531e+004	2.91860264140585e+001
1	14	11	19	-5.10532226623917e+004	3.12956254920461e+001
1	14	3	16	1.95414411389266e+003	7.19164116794776e+001
1	14	15	5	-1.10032968878594e+003	5.44157044292198e+001
1	14	6	17	8.96884863327740e+003	3.26824844196629e+001
1	14	8	17	4.83315485249331e+004	3.60553351996001e+001
1	14	9	19	-1.48544964330584e+005	1.98010437452668e+001
1	14	18	10	-2.18557416899742e+004	2.98418297034908e+001
1	14	11	12	-3.15604541154042e+004	2.56902096499390e+001
1	2	15	14	-1.25869027827503e+003	6.16412096528239e+001
1	2	6	4	-3.75171910883949e+003	4.63404840885636e+001
1	2	8	5	-1.35174596493837e+004	2.98735858251380e+001
1	2	9	6	2.00748199754865e+004	2.03578749371408e+001
1	2	18	8	-2.50130643409776e+004	2.85924338481715e+001
1	2	11	10	1.20075241198735e+005	2.09531295891793e+001
1	2	3	4	5.62362076878205e+003	1.45241253595334e+002
1	2	15	4	4.74869432042693e+003	1.35219070774157e+001
1	2	6	16	6.13108515451734e+003	3.31722362285161e+001
1	2	8	7	-1.72329268244646e+004	2.66162554803856e+001
1	2	9	17	-1.17021277896898e+004	2.84654258484204e+001
1	2	18	9	1.20128332257844e+004	2.35391467059245e+001
1	2	11	19	3.40007154325037e+004	2.15802540850101e+001
1	2	3	16	1.64617421797506e+003	7.17254568513915e+001
1	2	15	5	4.34568697476569e+003	3.69535491899201e+001
1	2	6	17	-7.39272098894285e+003	2.60038960786065e+001
1	2	8	17	2.64768296455697e+004	1.56478063205317e+001
1	2	9	19	-2.40691420844535e+004	2.17079592459686e+001
1	2	18	10	4.85100114705224e+004	2.65834862858463e+001
1	2	11	12	8.49429566597231e+004	1.46101885454724e+001
2	4	15	14	-1.98951208925219e+003	2.65351174904011e+001
2	4	8	5	3.93646004922991e+003	3.84375641507055e+001
2	4	9	6	1.61236645023318e+003	4.48786077757904e+001
2	4	18	8	1.01424029003821e+004	2.80893848326083e+001
2	4	11	10	4.63905764932699e+004	3.27517470042486e+001
2	4	1	13	-1.62418619661271e+003	3.64597317415620e+001
2	4	6	16	-1.81479149433540e+004	3.49438102234281e+001
2	4	8	7	1.11939843529805e+004	2.88636886541602e+001
2	4	9	17	1.99523332063560e+003	3.32994465047479e+001
2	4	18	9	-2.56001616497240e+005	-2.24769419284577e+001
2	4	11	19	-2.23954619810698e+005	3.30109109600969e+001
2	4	1	14	1.04752914579798e+003	5.00058988329583e+001
2	4	3	16	-1.73687303245657e+004	1.77630005029334e+002
2	4	15	5	-1.69013747893686e+003	3.78421781533962e+001
2	4	6	17	-8.40252190846090e+003	7.29170851216237e+001
2	4	8	17	2.50819976539915e+003	3.37666393416860e+001
2	4	9	19	-8.35946543969485e+003	3.23093339244206e+001
2	4	18	10	-1.02553787233554e+004	2.97970028807091e+001
2	4	11	12	-1.43726171788530e+004	3.21443583205048e+001
2	11	15	14	-3.12608099153170e+003	3.52887652729056e+001
2	11	6	4	-1.72158056684858e+003	3.04272149384818e+001
