144# Number of sensors
#x	z
10	26	6	22	13.36	0.0307485
10	26	22	5	-10.68	0.0309363
10	26	5	21	7.33	0.0313643
10	26	21	4	-6.37	0.0315699
10	26	4	20	5.17	0.0319342
10	26	20	3	-4.74	0.0321097
10	26	3	19	4.19	0.0323866
10	26	19	2	-3.9	0.0325641
10	26	2	18	3.69	0.03271
10	26	18	1	-3.41	0.0329326
9	25	8	24	101.62	0.0300984
9	25	24	7	-72.67	0.0301376
9	25	7	23	44.79	0.0302233
9	25	23	6	-34.57	0.0302893
9	25	6	22	24.09	0.0304151
9	25	22	5	-18.38	0.0305441
9	25	5	21	13.87	0.030721
9	25	21	4	-11.79	0.0308482
9	25	4	20	8.07	0.0312392
9	25	20	3	-7.28	0.0313736
9	25	3	19	6.34	0.0315773
9	25	19	2	-5.87	0.0317036
9	25	2	18	5.51	0.0318149
9	25	18	1	-5.04	0.0319841
9	25	1	17	4.74	0.0321097
8	24	7	23	106.15	0.0300942
8	24	23	6	-76.89	0.0301301
8	24	6	22	48.27	0.0302072
8	24	22	5	-34.51	0.0302898
8	24	5	21	24.34	0.0304108
8	24	21	4	-20.09	0.0304978
8	24	4	20	14.97	0.030668
8	24	20	3	-13.29	0.0307524
8	24	3	19	9.77	0.0310235
8	24	19	2	-8.95	0.0311173
8	24	2	18	8.32	0.0312019
8	24	18	1	-7.5	0.0313333
8	24	1	17	7	0.0314286
7	23	6	22	116.5	0.0300858
7	23	22	5	-76.68	0.0301304
7	23	5	21	47.7	0.0302096
7	23	21	4	-38.05	0.0302628
7	23	4	20	25.94	0.0303855
7	23	20	3	-22.51	0.0304442
7	23	3	19	18.45	0.030542
7	23	19	2	-16.73	0.0305977
7	23	2	18	13.3	0.0307519
7	23	18	1	-11.78	0.0308489
7	23	1	17	10.86	0.0309208
6	22	1	17	16.54	0.0306046
3	19	2	18	253.56	0.0300394
3	19	18	1	-177.96	0.0300562
3	19	1	17	132.95	0.0300752
2	18	1	17	689.4	0.0300145
32	48	31	47	64.06	0.0301561
32	48	47	30	-45.13	0.0302216
32	48	30	46	28.92	0.0303458
32	48	46	29	-22.12	0.0304521
32	48	29	45	13.25	0.0307547
32	48	45	28	-10.52	0.0309506
32	48	28	44	7.01	0.0314265
32	48	44	27	-5.68	0.0317606
32	48	27	43	3.91	0.0325575
32	48	43	26	-3.22	0.0331056
32	48	26	42	2.44	0.0340984
32	48	42	25	-2.09	0.0347847
32	48	25	41	1.64	0.0360976
32	48	41	24	-1.43	0.036993
32	48	24	40	1.14	0.0387719
32	48	40	23	-1	0.04
31	47	30	46	88.49	0.030113
31	47	46	29	-64.29	0.0301555
31	47	29	45	35.94	0.0302782
31	47	45	28	-27.49	0.0303638
31	47	28	44	17.56	0.0305695
31	47	44	27	-13.74	0.0307278
31	47	27	43	9.62	0.0310395
31	47	43	26	-7.68	0.0313021
31	47	26	42	5.08	0.0319685
31	47	42	25	-4.23	0.0323641
31	47	25	41	3.25	0.0330769
31	47	41	24	-2.76	0.0336232
31	47	24	40	2.17	0.0346083
31	47	40	23	-1.87	0.0353476
31	47	23	39	1.51	0.0366225
31	47	39	22	-1.33	0.0375188
30	46	29	45	85.15	0.0301174
30	46	45	28	-60.73	0.0301647
30	46	28	44	36.17	0.0302765
30	46	44	27	-26.98	0.0303706
30	46	27	43	18.31	0.0305461
30	46	43	26	-14.12	0.0307082
30	46	26	42	10.3	0.0309709
30	46	42	25	-8.33	0.0312005
30	46	25	41	5.71	0.0317513
30	46	41	24	-4.7	0.0321277
30	46	24	40	3.69	0.03271
30	46	40	23	-3.09	0.0332362
30	46	23	39	2.5	0.034
30	46	39	22	-2.14	0.0346729
30	46	22	38	1.79	0.0355866
30	46	38	21	-1.57	0.0363694
29	45	28	44	91.44	0.0301094
29	45	44	27	-64.99	0.0301539
29	45	27	43	38.81	0.0302577
29	45	43	26	-29.14	0.0303432
29	45	26	42	19.81	0.0305048
29	45	42	25	-15.76	0.0306345
29	45	25	41	11.46	0.0308726
29	45	41	24	-9.32	0.031073
29	45	24	40	6.38	0.0315674
29	45	40	23	-5.29	0.0318904
29	45	23	39	4.17	0.0323981
29	45	39	22	-3.52	0.0328409
29	45	22	38	2.88	0.0334722
29	45	38	21	-2.51	0.0339841
29	45	21	37	2.1	0.0347619
29	45	37	20	-1.86	0.0353763
28	44	27	43	94.24	0.0301061
28	44	43	26	-67.7	0.0301477
28	44	26	42	40.24	0.0302485
