50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	68.15	8.5	0.0200101	19.4897	1328.22
2	3	5	4	72.881	7.09	0.0200093	19.5546	1425.16
3	4	6	5	60.573	6.75	0.0200111	19.7817	1198.24
4	5	7	6	43.05	15.11	0.0200174	18.8222	810.295
5	6	8	7	36.43	15.15	0.0200222	17.7253	645.731
6	7	9	8	31.513	10.61	0.0200283	19.572	616.771
7	8	10	9	62.51	10.39	0.020011	19.2949	1206.12
8	9	11	10	62.745	7.3	0.0200117	18.988	1191.4
9	10	12	11	62.151	9.88	0.0200114	19.1462	1189.95
10	11	13	12	59.236	8.21	0.0200118	18.7237	1109.12
11	12	14	13	64.261	7.7	0.0200094	18.8301	1210.04
12	13	15	14	57.02	7.05	0.0200121	20.0586	1143.74
13	14	16	15	69.202	7.91	0.0200093	18.2025	1259.65
14	15	17	16	58.468	8.08	0.0200117	19.6545	1149.16
15	16	18	17	77.576	9.13	0.0200084	18.3828	1426.06
16	17	19	18	77.111	8.41	0.0200091	18.8286	1451.89
17	18	20	19	71.171	7.64	0.0200097	20.2701	1442.65
18	19	21	20	71.487	8.43	0.0200107	18.3173	1309.45
19	20	22	21	77.447	9.51	0.0200096	17.2824	1338.47
20	21	23	22	52.762	9.25	0.020015	18.9626	1000.51
21	22	24	23	64.016	10.01	0.0200114	21.2428	1359.88
22	23	25	24	47.807	8.92	0.020015	19.6516	939.485
23	24	26	25	60.939	9.21	0.0200103	18.6559	1136.87
24	25	27	26	57.929	9.17	0.0200113	18.4255	1067.37
25	26	28	27	71.757	10.2	0.0200085	18.8423	1352.07
26	27	29	28	56.802	9.69	0.0200107	19.9828	1135.06
27	28	30	29	63.121	10.96	0.0200098	19.3933	1224.13
28	29	31	30	60.109	10.65	0.0200109	18.3405	1102.43
29	30	32	31	54.317	9.36	0.0200119	19.9388	1083.02
30	31	33	32	47.717	9.04	0.020013	18.0592	861.731
31	32	34	33	46.836	9.13	0.0200147	18.8302	881.929
32	33	35	34	41.025	8.28	0.0200171	20.0747	823.566
33	34	36	35	53	10.29	0.0200121	18.3368	971.851
34	35	37	36	50.769	10.5	0.0200134	19.1405	971.746
35	36	38	37	40.12	10.46	0.020021	19.8855	797.807
36	37	39	38	38.78	10.96	0.0200187	19.2432	746.25
37	38	40	39	38.44	9.75	0.0200164	19.4282	746.82
38	39	41	40	36.538	9.35	0.0200184	19.0734	696.902
39	40	42	41	32.717	10.33	0.0200203	18.9059	618.546
40	41	43	42	31.33	8.76	0.0200201	19.6492	615.61
41	42	44	43	28.31	9.44	0.0200262	19.3419	547.568
42	43	45	44	27.71	8.7	0.0200256	18.8629	522.691
43	44	46	45	30.36	9.08	0.0200256	18.9774	576.154
44	45	47	46	25.997	8.75	0.0200258	20.4911	532.708
45	46	48	47	25.489	8.2	0.0200328	18.4756	470.925
46	47	49	48	21.703	1.15	0.0200284	18.8189	408.426
47	48	50	49	30.295	9.43	0.0200231	19.4429	589.024
1	3	7	5	25.546	8.35	0.0200302	41.2338	1053.36
2	4	8	6	23.278	13.02	0.020034	39.6893	923.889
3	5	9	7	32.421	7.58	0.0200232	35.2313	1142.23
4	6	10	8	34.399	4.31	0.0200213	35.295	1214.11
5	7	11	9	24.583	9.74	0.0200316	38.1621	938.14
6	8	12	10	30.832	9.74	0.0200244	38.2234	1178.5
7	9	13	11	38.447	6.96	0.0200201	37.8021	1453.38
8	10	14	12	34.05	8.88	0.0200215	37.0855	1262.76
9	11	15	13	29.525	11.5	0.0200232	36.7558	1085.22
10	12	16	14	28.846	11.12	0.0200244	38.5365	1111.62
11	13	17	15	26.961	9.71	0.0200277	38.0366	1025.5
12	14	18	16	25.55	8.25	0.0200273	36.8378	941.207
13	15	19	17	26.784	7.49	0.020026	38.1369	1021.46
14	16	20	18	30.142	7.45	0.0200223	38.0523	1146.97
15	17	21	19	24.457	7.5	0.0200309	41.3243	1010.67
16	18	22	20	25.295	7.04	0.0200284	38.4701	973.101
17	19	23	21	23.853	6.85	0.0200308	31.689	755.879
18	20	24	22	17.78	8.14	0.0200411	32.247	573.352
19	21	25	23	17.929	8.75	0.0200383	41.8975	751.181
20	22	26	24	18.953	8.26	0.020034	45.4705	861.802
21	23	27	25	17.781	8.09	0.0200364	40.1251	713.465
22	24	28	26	19.761	8.69	0.0200307	35.2891	697.348
23	25	29	27	22.534	8.85	0.0200255	35.268	794.729
24	26	30	28	22.999	8.74	0.0200243	39.0676	898.515
25	27	31	29	22.216	8.84	0.0200233	41.0141	911.17
26	28	32	30	23.46	8.74	0.0200265	38.2639	897.67
27	29	33	31	24.29	9.37	0.0200273	37.9982	922.975
