50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	83.943	-7.07	0.0200101	19.4897	1636.03
2	3	5	4	87.541	-5.79	0.0200093	19.5546	1711.83
3	4	6	5	70.346	-5.76	0.0200111	19.7817	1391.56
4	5	7	6	44.441	-8.76	0.0200174	18.8222	836.476
5	6	8	7	35.033	-6.9	0.0200222	17.7253	620.969
6	7	9	8	26.252	-5.89	0.0200283	19.572	513.803
7	8	10	9	80.706	-7.44	0.020011	19.2949	1557.21
8	9	11	10	68.274	-5.55	0.0200117	18.988	1296.39
9	10	12	11	82.481	-8.59	0.0200114	19.1462	1579.2
10	11	13	12	72.575	-6.37	0.0200118	18.7237	1358.87
11	12	14	13	100.19	-6.52	0.0200094	18.8301	1886.58
12	13	15	14	67.99	-5.11	0.0200121	20.0586	1363.78
13	14	16	15	95.577	-7.8	0.0200093	18.2025	1739.74
14	15	17	16	73.101	-8.13	0.0200117	19.6545	1436.76
15	16	18	17	110	-8.54	0.0200084	18.3828	2022.11
16	17	19	18	110.81	-7.61	0.0200091	18.8286	2086.4
17	18	20	19	98.091	-7.3	0.0200097	20.2701	1988.32
18	19	21	20	85.318	-7.87	0.0200107	18.3173	1562.8
19	20	22	21	104.387	-8.59	0.0200096	17.2824	1804.06
20	21	23	22	69.975	-7.94	0.020015	18.9626	1326.91
21	22	24	23	84.096	-8.32	0.0200114	21.2428	1786.43
22	23	25	24	61.94	-7.57	0.020015	19.6516	1217.22
23	24	26	25	103.87	-8.72	0.0200103	18.6559	1937.78
24	25	27	26	90.95	-7.3	0.0200113	18.4255	1675.8
25	26	28	27	140.093	-11.36	0.0200085	18.8423	2639.68
26	27	29	28	90.639	-8.5	0.0200107	19.9828	1811.22
27	28	30	29	101.59	-11.97	0.0200098	19.3933	1970.17
28	29	31	30	93.226	-9.94	0.0200109	18.3405	1709.82
29	30	32	31	80.892	-8.73	0.0200119	19.9388	1612.89
30	31	33	32	65.89	-7.78	0.020013	18.0592	1189.92
31	32	34	33	60.453	-7.78	0.0200147	18.8302	1138.34
32	33	35	34	54.438	-6.23	0.0200171	20.0747	1092.83
33	34	36	35	80.201	-8.76	0.0200121	18.3368	1470.63
34	35	37	36	80.121	-9.12	0.0200134	19.1405	1533.56
35	36	38	37	43.784	-9.04	0.020021	19.8855	870.667
36	37	39	38	49.383	-10.71	0.0200187	19.2432	950.286
37	38	40	39	55.644	-9.7	0.0200164	19.4282	1081.06
38	39	41	40	48.802	-8.42	0.0200184	19.0734	930.818
39	40	42	41	41.52	-10.17	0.0200203	18.9059	784.975
40	41	43	42	44.355	-6.71	0.0200201	19.6492	871.541
41	42	44	43	33.258	-7.47	0.0200262	19.3419	643.272
42	43	45	44	37.068	-6.3	0.0200256	18.8629	699.209
43	44	46	45	32.313	-8.23	0.0200256	18.9774	613.217
44	45	47	46	29.355	-7.74	0.0200258	20.4911	601.518
45	46	48	47	25.356	-3.05	0.0200328	18.4756	468.468
46	47	49	48	30.735	-5.17	0.0200284	18.8189	578.397
47	48	50	49	33.801	-7.41	0.0200231	19.4429	657.191
1	3	7	5	25.03	-6.34	0.0200302	41.2338	1032.08
2	4	8	6	24.229	-9	0.020034	39.6893	961.633
3	5	9	7	35.589	-6.77	0.0200232	35.2313	1253.85
4	6	10	8	37.8	-5.3	0.0200213	35.295	1334.15
5	7	11	9	27.632	-7.24	0.0200316	38.1621	1054.5
6	8	12	10	35.167	-7.47	0.0200244	38.2234	1344.2
7	9	13	11	42.023	-6.64	0.0200201	37.8021	1588.56
8	10	14	12	39.113	-7.21	0.0200215	37.0855	1450.52
9	11	15	13	35.61	-7.89	0.0200232	36.7558	1308.87
10	12	16	14	34.606	-7.51	0.0200244	38.5365	1333.59
11	13	17	15	28.694	-7.52	0.0200277	38.0366	1091.42
12	14	18	16	30.835	-7.9	0.0200273	36.8378	1135.89
13	15	19	17	31.92	-7.58	0.020026	38.1369	1217.33
14	16	20	18	39.612	-7.23	0.0200223	38.0523	1507.33
15	17	21	19	27.881	-6.85	0.0200309	41.3243	1152.16
