50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	95.209	-5.77	0.0200101	19.4897	1855.6
2	3	5	4	95.522	-4.88	0.0200093	19.5546	1867.89
3	4	6	5	80.167	-4.55	0.0200111	19.7817	1585.84
4	5	7	6	48.945	-13.19	0.0200174	18.8222	921.251
5	6	8	7	39.122	-10.35	0.0200222	17.7253	693.447
6	7	9	8	32.415	-5.98	0.0200283	19.572	634.425
7	8	10	9	94.51	-7.89	0.020011	19.2949	1823.56
8	9	11	10	83.801	-4.73	0.0200117	18.988	1591.21
9	10	12	11	85.415	-8.04	0.0200114	19.1462	1635.37
10	11	13	12	83.014	-5.71	0.0200118	18.7237	1554.33
11	12	14	13	101.527	-5.15	0.0200094	18.8301	1911.76
12	13	15	14	70.05	-5.53	0.0200121	20.0586	1405.1
13	14	16	15	91.465	-7.32	0.0200093	18.2025	1664.89
14	15	17	16	89.739	-7.64	0.0200117	19.6545	1763.77
15	16	18	17	95.252	-7.93	0.0200084	18.3828	1751
16	17	19	18	107.103	-7.03	0.0200091	18.8286	2016.6
17	18	20	19	95.369	-6.26	0.0200097	20.2701	1933.14
18	19	21	20	91.074	-6.73	0.0200107	18.3173	1668.23
19	20	22	21	88.909	-8.33	0.0200096	17.2824	1536.56
20	21	23	22	58.009	-6.92	0.020015	18.9626	1100
21	22	24	23	76.797	-7.73	0.0200114	21.2428	1631.38
22	23	25	24	59.152	-6.98	0.020015	19.6516	1162.43
23	24	26	25	85.195	-7.61	0.0200103	18.6559	1589.39
24	25	27	26	82.867	-6.21	0.0200113	18.4255	1526.86
25	26	28	27	120.993	-9.09	0.0200085	18.8423	2279.79
26	27	29	28	105.1	-7.49	0.0200107	19.9828	2100.2
27	28	30	29	116.536	-10.97	0.0200098	19.3933	2260.02
28	29	31	30	92.976	-8.6	0.0200109	18.3405	1705.23
29	30	32	31	76.7	-8.14	0.0200119	19.9388	1529.31
30	31	33	32	68.085	-6.93	0.020013	18.0592	1229.56
31	32	34	33	58.206	-7.21	0.0200147	18.8302	1096.03
32	33	35	34	48.093	-5.77	0.0200171	20.0747	965.455
33	34	36	35	69.171	-8.26	0.0200121	18.3368	1268.37
34	35	37	36	64.029	-8.56	0.0200134	19.1405	1225.55
35	36	38	37	48.869	-8.52	0.020021	19.8855	971.785
36	37	39	38	52.707	-8.18	0.0200187	19.2432	1014.25
37	38	40	39	54.265	-8.79	0.0200164	19.4282	1054.27
38	39	41	40	46.635	-6.93	0.0200184	19.0734	889.486
39	40	42	41	43.472	-8.79	0.0200203	18.9059	821.879
40	41	43	42	38.809	-6.23	0.0200201	19.6492	762.566
41	42	44	43	33.403	-7.24	0.0200262	19.3419	646.077
42	43	45	44	33.586	-6.2	0.0200256	18.8629	633.529
43	44	46	45	34.254	-7.34	0.0200256	18.9774	650.052
44	45	47	46	30.735	-6.46	0.0200258	20.4911	629.795
45	46	48	47	26.841	-4.26	0.0200328	18.4756	495.904
46	47	49	48	29.824	-2.7	0.0200284	18.8189	561.253
47	48	50	49	36.889	-7.96	0.0200231	19.4429	717.231
1	3	7	5	27.898	-6.66	0.0200302	41.2338	1150.34
2	4	8	6	25.773	-12.03	0.020034	39.6893	1022.91
3	5	9	7	38.878	-6.08	0.0200232	35.2313	1369.72
4	6	10	8	40.779	-2.18	0.0200213	35.295	1439.3
5	7	11	9	26.561	-7.19	0.0200316	38.1621	1013.62
6	8	12	10	35.819	-9.3	0.0200244	38.2234	1369.12
7	9	13	11	43.758	-6.79	0.0200201	37.8021	1654.14
8	10	14	12	41.094	-6.79	0.0200215	37.0855	1523.99
9	11	15	13	36.836	-7.05	0.0200232	36.7558	1353.94
10	12	16	14	35.017	-7.28	0.0200244	38.5365	1349.43
11	13	17	15	28.877	-7.54	0.0200277	38.0366	1098.38
12	14	18	16	30.537	-8.05	0.0200273	36.8378	1124.92
13	15	19	17	29.506	-7.74	0.020026	38.1369	1125.27
14	16	20	18	33.618	-7.19	0.0200223	38.0523	1279.24
15	17	21	19	27.726	-6.85	0.0200309	41.3243	1145.76
16	18	22	20	27.535	-7.58	0.0200284	38.4701	1059.27
17	19	23	21	27.515	-6.99	0.0200308	31.689	871.924
18	20	24	22	20.484	-7.58	0.0200411	32.247	660.548
19	21	25	23	22.528	-7.98	0.0200383	41.8975	943.867
20	22	26	24	24.08	-7.92	0.020034	45.4705	1094.93
21	23	27	25	21.737	-8.19	0.0200364	40.1251	872.2
22	24	28	26	28.707	-8.14	0.0200307	35.2891	1013.04
23	25	29	27	37.491	-9.03	0.0200255	35.268	1322.23
24	26	30	28	39.903	-8.89	0.0200243	39.0676	1558.91
25	27	31	29	35.849	-8.16	0.0200233	41.0141	1470.32
26	28	32	30	33.619	-8.77	0.0200265	38.2639	1286.39
27	29	33	31	32.147	-9.43	0.0200273	37.9982	1221.53
28	30	34	32	29.1	-9.32	0.0200283	37.107	1079.81
29	31	35	33	23.599	-7.75	0.0200344	35.1079	828.512
30	32	36	34	19.329	-6.95	0.0200447	37.7517	729.703
31	33	37	35	23.157	-7.78	0.0200387	37.741	873.967
32	34	38	36	24.234	-9.54	0.0200333	36.6457	888.073
33	35	39	37	18.99	-9.55	0.0200422	39.1332	743.139
34	36	40	38	16.033	-9.32	0.0200505	40.1907	644.378
35	37	41	39	13.476	-8.91	0.0200576	38.9924	525.461
36	38	42	40	10.676	-8.34	0.0200666	37.6275	401.711
37	39	43	41	9.572	-9.54	0.0200773	36.8525	352.752
38	40	44	42	9.522	-9.13	0.0200735	38.3305	364.983
39	41	45	43	8.668	-7.73	0.0200932	38.8612	336.849
40	42	46	44	9.123	-7.88	0.0200944	36.9847	337.411
