50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	79.76	-7.13	0.0200101	19.4897	1554.5
2	3	5	4	82.105	-5.59	0.0200093	19.5546	1605.53
3	4	6	5	60.43	-5.5	0.0200111	19.7817	1195.41
4	5	7	6	40.909	-9.03	0.0200174	18.8222	769.996
5	6	8	7	34.662	-7.12	0.0200222	17.7253	614.393
6	7	9	8	23.927	-6.02	0.0200283	19.572	468.298
7	8	10	9	79.292	-6.86	0.020011	19.2949	1529.93
8	9	11	10	63.838	-5.66	0.0200117	18.988	1212.15
9	10	12	11	78.513	-8.15	0.0200114	19.1462	1503.22
10	11	13	12	67.378	-5.86	0.0200118	18.7237	1261.57
11	12	14	13	94.819	-6.42	0.0200094	18.8301	1785.45
12	13	15	14	65.156	-5.02	0.0200121	20.0586	1306.94
13	14	16	15	87.813	-7.36	0.0200093	18.2025	1598.41
14	15	17	16	71.39	-7.76	0.0200117	19.6545	1403.13
15	16	18	17	95.586	-8.2	0.0200084	18.3828	1757.14
16	17	19	18	98.092	-7.81	0.0200091	18.8286	1846.94
17	18	20	19	87.466	-6.57	0.0200097	20.2701	1772.95
18	19	21	20	77.528	-7.55	0.0200107	18.3173	1420.11
19	20	22	21	90.873	-8.53	0.0200096	17.2824	1570.5
20	21	23	22	57.659	-8	0.020015	18.9626	1093.37
21	22	24	23	74.012	-8.41	0.0200114	21.2428	1572.22
22	23	25	24	55.124	-7.7	0.020015	19.6516	1083.28
23	24	26	25	88.115	-8.6	0.0200103	18.6559	1643.86
24	25	27	26	90.847	-7.67	0.0200113	18.4255	1673.9
25	26	28	27	113.82	-10.51	0.0200085	18.8423	2144.63
26	27	29	28	83.247	-8.69	0.0200107	19.9828	1663.51
27	28	30	29	87.625	-11.45	0.0200098	19.3933	1699.34
