50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	109.313	-5.75	0.0200101	19.4897	2130.48
2	3	5	4	109.367	-5.17	0.0200093	19.5546	2138.63
3	4	6	5	86.663	-5.04	0.0200111	19.7817	1714.34
4	5	7	6	51.558	-10.66	0.0200174	18.8222	970.434
5	6	8	7	40.869	-8.38	0.0200222	17.7253	724.413
6	7	9	8	30.422	-5.37	0.0200283	19.572	595.418
7	8	10	9	103.08	-7.05	0.020011	19.2949	1988.92
8	9	11	10	88.641	-4.86	0.0200117	18.988	1683.11
9	10	12	11	96.496	-7.95	0.0200114	19.1462	1847.53
10	11	13	12	94.358	-5.51	0.0200118	18.7237	1766.73
11	12	14	13	126.54	-5.95	0.0200094	18.8301	2382.76
12	13	15	14	81.059	-5.22	0.0200121	20.0586	1625.93
13	14	16	15	109.05	-7.28	0.0200093	18.2025	1984.98
14	15	17	16	102.14	-7.66	0.0200117	19.6545	2007.51
15	16	18	17	117.33	-8.01	0.0200084	18.3828	2156.85
16	17	19	18	130.323	-6.93	0.0200091	18.8286	2453.8
17	18	20	19	118.257	-6.69	0.0200097	20.2701	2397.09
18	19	21	20	108.247	-7.4	0.0200107	18.3173	1982.8
19	20	22	21	108.147	-8.11	0.0200096	17.2824	1869.04
20	21	23	22	70.053	-6.96	0.020015	18.9626	1328.39
21	22	24	23	98.428	-7.74	0.0200114	21.2428	2090.88
22	23	25	24	76.242	-6.44	0.020015	19.6516	1498.28
23	24	26	25	118.1	-7.86	0.0200103	18.6559	2203.26
24	25	27	26	108.88	-6.1	0.0200113	18.4255	2006.17
25	26	28	27	157.32	-8.65	0.0200085	18.8423	2964.28
26	27	29	28	124.923	-7.05	0.0200107	19.9828	2496.31
27	28	30	29	135.453	-10.87	0.0200098	19.3933	2626.89
28	29	31	30	110.5	-7.64	0.0200109	18.3405	2026.63
29	30	32	31	91.927	-8.45	0.0200119	19.9388	1832.92
30	31	33	32	80.031	-7.12	0.020013	18.0592	1445.3
31	32	34	33	66.062	-6.83	0.0200147	18.8302	1243.96
32	33	35	34	57.454	-5.46	0.0200171	20.0747	1153.37
33	34	36	35	83.34	-8.89	0.0200121	18.3368	1528.19
34	35	37	36	83.972	-8.23	0.0200134	19.1405	1607.27
35	36	38	37	56.423	-8.98	0.020021	19.8855	1122
36	37	39	38	60.369	-8.64	0.0200187	19.2432	1161.69
37	38	40	39	67.21	-9.13	0.0200164	19.4282	1305.77
38	39	41	40	57.287	-6.76	0.0200184	19.0734	1092.66
39	40	42	41	51.475	-8.69	0.0200203	18.9059	973.183
40	41	43	42	46.477	-5.89	0.0200201	19.6492	913.236
41	42	44	43	38.904	-6.24	0.0200262	19.3419	752.476
42	43	45	44	40.094	-4.89	0.0200256	18.8629	756.288
43	44	46	45	39.497	-7.01	0.0200256	18.9774	749.55
44	45	47	46	31.686	-6.05	0.0200258	20.4911	649.282
45	46	48	47	28.167	-2.77	0.0200328	18.4756	520.403
46	47	49	48	34.141	-3.53	0.0200284	18.8189	642.494
47	48	50	49	39.161	-6.71	0.0200231	19.4429	761.405
1	3	7	5	28.361	-6.38	0.0200302	41.2338	1169.43
2	4	8	6	27.199	-10.64	0.020034	39.6893	1079.51
3	5	9	7	41.739	-6.26	0.0200232	35.2313	1470.52
4	6	10	8	43.455	-3.8	0.0200213	35.295	1533.75
5	7	11	9	29.144	-6.8	0.0200316	38.1621	1112.2
6	8	12	10	40.256	-8.27	0.0200244	38.2234	1538.72
7	9	13	11	47.442	-6.71	0.0200201	37.8021	1793.4
8	10	14	12	43.801	-6.74	0.0200215	37.0855	1624.38
9	11	15	13	41.376	-6.92	0.0200232	36.7558	1520.81
10	12	16	14	40.426	-7.35	0.0200244	38.5365	1557.88
11	13	17	15	31.61	-7.27	0.0200277	38.0366	1202.34
12	14	18	16	33.9	-7.95	0.0200273	36.8378	1248.8
13	15	19	17	33.308	-7.5	0.020026	38.1369	1270.26
14	16	20	18	39.748	-7.41	0.0200223	38.0523	1512.5
15	17	21	19	30.505	-6.57	0.0200309	41.3243	1260.6
16	18	22	20	30.781	-7.66	0.0200284	38.4701	1184.15
17	19	23	21	30.891	-7.24	0.0200308	31.689	978.906
18	20	24	22	22.699	-7.56	0.0200411	32.247	731.975
19	21	25	23	25.824	-7.89	0.0200383	41.8975	1081.96
20	22	26	24	28.741	-8.01	0.020034	45.4705	1306.87
21	23	27	25	24.685	-8.51	0.0200364	40.1251	990.488
22	24	28	26	32.323	-8.47	0.0200307	35.2891	1140.65
23	25	29	27	43.135	-9.49	0.0200255	35.268	1521.29
24	26	30	28	44.857	-8.65	0.0200243	39.0676	1752.45
25	27	31	29	42.827	-7.22	0.0200233	41.0141	1756.51
