50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	102.18	-7.67	0.0200101	19.4897	1991.46
2	3	5	4	110.72	-6.83	0.0200093	19.5546	2165.08
3	4	6	5	91.604	-6.07	0.0200111	19.7817	1812.08
4	5	7	6	56.847	-14.69	0.0200174	18.8222	1069.98
5	6	8	7	42.609	-11.71	0.0200222	17.7253	755.255
6	7	9	8	34.127	-8	0.0200283	19.572	667.932
7	8	10	9	89.068	-9.37	0.020011	19.2949	1718.56
8	9	11	10	85.328	-6.53	0.0200117	18.988	1620.21
9	10	12	11	87.172	-9.11	0.0200114	19.1462	1669.01
10	11	13	12	84.902	-7.89	0.0200118	18.7237	1589.68
11	12	14	13	109.87	-6.72	0.0200094	18.8301	2068.86
12	13	15	14	80.581	-6.24	0.0200121	20.0586	1616.34
13	14	16	15	109.2	-8.25	0.0200093	18.2025	1987.71
14	15	17	16	88.71	-8.76	0.0200117	19.6545	1743.55
15	16	18	17	121.167	-8.96	0.0200084	18.3828	2227.39
16	17	19	18	116.963	-7.86	0.0200091	18.8286	2202.25
17	18	20	19	107.473	-8	0.0200097	20.2701	2178.49
18	19	21	20	98.933	-7.95	0.0200107	18.3173	1812.19
19	20	22	21	108.127	-9	0.0200096	17.2824	1868.7
20	21	23	22	69.157	-8.17	0.020015	18.9626	1311.4
21	22	24	23	93.618	-9.18	0.0200114	21.2428	1988.7
22	23	25	24	72.773	-8.17	0.020015	19.6516	1430.11
23	24	26	25	103.663	-9.35	0.0200103	18.6559	1933.92
24	25	27	26	92.426	-7.61	0.0200113	18.4255	1702.99
25	26	28	27	129.11	-11.23	0.0200085	18.8423	2432.73
26	27	29	28	103.144	-9.3	0.0200107	19.9828	2061.11
27	28	30	29	111.483	-12.27	0.0200098	19.3933	2162.03
28	29	31	30	98.477	-10.53	0.0200109	18.3405	1806.12
29	30	32	31	89.405	-9.21	0.0200119	19.9388	1782.63
30	31	33	32	77.776	-8.09	0.020013	18.0592	1404.57
31	32	34	33	71.723	-7.28	0.0200147	18.8302	1350.55
