50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	75.365	-5.7	0.0200101	19.4897	1468.84
2	3	5	4	76.522	-5.13	0.0200093	19.5546	1496.36
3	4	6	5	62.25	-4.16	0.0200111	19.7817	1231.41
4	5	7	6	41.582	-13.24	0.0200174	18.8222	782.664
5	6	8	7	35.607	-9.6	0.0200222	17.7253	631.143
6	7	9	8	29.632	-7.46	0.0200283	19.572	579.956
7	8	10	9	73.35	-7.31	0.020011	19.2949	1415.28
8	9	11	10	68.604	-4.63	0.0200117	18.988	1302.65
9	10	12	11	66.399	-8.14	0.0200114	19.1462	1271.29
10	11	13	12	65.757	-5.75	0.0200118	18.7237	1231.22
11	12	14	13	73.913	-4.51	0.0200094	18.8301	1391.79
12	13	15	14	61.612	-5.21	0.0200121	20.0586	1235.85
13	14	16	15	73.802	-6.88	0.0200093	18.2025	1343.38
14	15	17	16	72.114	-6.66	0.0200117	19.6545	1417.36
15	16	18	17	77.927	-7.74	0.0200084	18.3828	1432.52
16	17	19	18	82.676	-6.46	0.0200091	18.8286	1556.68
17	18	20	19	73.614	-5.82	0.0200097	20.2701	1492.17
18	19	21	20	72.018	-6.69	0.0200107	18.3173	1319.18
19	20	22	21	74.086	-7.67	0.0200096	17.2824	1280.38
20	21	23	22	49.587	-7.6	0.020015	18.9626	940.301
21	22	24	23	60.723	-7.7	0.0200114	21.2428	1289.92
22	23	25	24	45.188	-7.19	0.020015	19.6516	888.017
23	24	26	25	60.527	-7.27	0.0200103	18.6559	1129.18
