50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	99.142	-8.03	0.0200101	19.4897	1932.25
2	3	5	4	107.94	-7.36	0.0200093	19.5546	2110.72
3	4	6	5	89.748	-6.67	0.0200111	19.7817	1775.37
4	5	7	6	57.551	-16.26	0.0200174	18.8222	1083.23
5	6	8	7	45.014	-12.72	0.0200222	17.7253	797.884
6	7	9	8	35.314	-9.13	0.0200283	19.572	691.164
7	8	10	9	90.578	-9.94	0.020011	19.2949	1747.69
8	9	11	10	85.407	-6.93	0.0200117	18.988	1621.71
9	10	12	11	87.789	-9.32	0.0200114	19.1462	1680.82
10	11	13	12	84.407	-8.07	0.0200118	18.7237	1580.41
11	12	14	13	106.34	-7.01	0.0200094	18.8301	2002.39
12	13	15	14	82.839	-6.23	0.0200121	20.0586	1661.63
13	14	16	15	107.66	-8.24	0.0200093	18.2025	1959.68
14	15	17	16	85.581	-8.75	0.0200117	19.6545	1682.05
15	16	18	17	119.08	-8.99	0.0200084	18.3828	2189.02
16	17	19	18	110.33	-8.42	0.0200091	18.8286	2077.36
17	18	20	19	103.467	-7.94	0.0200097	20.2701	2097.29
18	19	21	20	93.817	-8.38	0.0200107	18.3173	1718.48
19	20	22	21	104.576	-9.24	0.0200096	17.2824	1807.33
20	21	23	22	66.668	-9.07	0.020015	18.9626	1264.2
21	22	24	23	87.573	-9.32	0.0200114	21.2428	1860.29
22	23	25	24	66.643	-8.7	0.020015	19.6516	1309.64
23	24	26	25	97.118	-9.6	0.0200103	18.6559	1811.82
24	25	27	26	88.533	-8.79	0.0200113	18.4255	1631.26
25	26	28	27	117.97	-11.2	0.0200085	18.8423	2222.83
26	27	29	28	93.582	-10.01	0.0200107	19.9828	1870.03
27	28	30	29	102.484	-11.86	0.0200098	19.3933	1987.51
28	29	31	30	91.368	-10.51	0.0200109	18.3405	1675.74
29	30	32	31	84.154	-9.37	0.0200119	19.9388	1677.93
30	31	33	32	76.838	-7.88	0.020013	18.0592	1387.63
31	32	34	33	68.154	-8.01	0.0200147	18.8302	1283.35
32	33	35	34	58.419	-7.56	0.0200171	20.0747	1172.75
33	34	36	35	82.947	-9.39	0.0200121	18.3368	1520.98
34	35	37	36	74.703	-10.24	0.0200134	19.1405	1429.86
35	36	38	37	47.648	-10.02	0.020021	19.8855	947.505
36	37	39	38	53.349	-10.99	0.0200187	19.2432	1026.6
37	38	40	39	61.129	-9.6	0.0200164	19.4282	1187.63
38	39	41	40	54.267	-8.12	0.0200184	19.0734	1035.05
39	40	42	41	49.226	-9.69	0.0200203	18.9059	930.664
40	41	43	42	49.759	-7.34	0.0200201	19.6492	977.725
41	42	44	43	38.198	-7.72	0.0200262	19.3419	738.821
42	43	45	44	39.023	-7.63	0.0200256	18.8629	736.086
43	44	46	45	39.118	-8.31	0.0200256	18.9774	742.358
44	45	47	46	38.719	-7.42	0.0200258	20.4911	793.397
45	46	48	47	30.533	-3.46	0.0200328	18.4756	564.117
46	47	49	48	35.203	-9.85	0.0200284	18.8189	662.48
47	48	50	49	43.22	-7.26	0.0200231	19.4429	840.324
1	3	7	5	33.157	-7.29	0.0200302	41.2338	1367.19
2	4	8	6	29.403	-12.76	0.020034	39.6893	1166.99
3	5	9	7	43.179	-7.35	0.0200232	35.2313	1521.25
4	6	10	8	47.057	-3.83	0.0200213	35.295	1660.88
5	7	11	9	31.674	-8.55	0.0200316	38.1621	1208.75
6	8	12	10	41.025	-10.05	0.0200244	38.2234	1568.11
7	9	13	11	49.872	-7.63	0.0200201	37.8021	1885.26
8	10	14	12	46.538	-8.22	0.0200215	37.0855	1725.88
9	11	15	13	43.032	-8.94	0.0200232	36.7558	1581.68
10	12	16	14	41.037	-8.33	0.0200244	38.5365	1581.42
11	13	17	15	36.045	-7.99	0.0200277	38.0366	1371.03
12	14	18	16	36.589	-8.22	0.0200273	36.8378	1347.86
13	15	19	17	38.512	-8.07	0.020026	38.1369	1468.73
14	16	20	18	44.825	-8.2	0.0200223	38.0523	1705.69
15	17	21	19	32.318	-7.5	0.0200309	41.3243	1335.52
16	18	22	20	35.2	-7.61	0.0200284	38.4701	1354.15
17	19	23	21	32.489	-7.08	0.0200308	31.689	1029.55
18	20	24	22	24.34	-9.04	0.0200411	32.247	784.893
19	21	25	23	26.139	-9.27	0.0200383	41.8975	1095.16
20	22	26	24	29.403	-8.6	0.020034	45.4705	1336.97
21	23	27	25	27.482	-8.14	0.0200364	40.1251	1102.72
22	24	28	26	32.554	-9.4	0.0200307	35.2891	1148.8
23	25	29	27	39.181	-10.5	0.0200255	35.268	1381.84
24	26	30	28	41.167	-9.94	0.0200243	39.0676	1608.29
