50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	69.359	8.49	0.0200101	19.4897	1351.79
2	3	5	4	73.121	7.19	0.0200093	19.5546	1429.85
3	4	6	5	59.954	6.8	0.0200111	19.7817	1185.99
4	5	7	6	42.823	15.15	0.0200174	18.8222	806.022
5	6	8	7	36.339	15.11	0.0200222	17.7253	644.118
6	7	9	8	31.157	11.32	0.0200283	19.572	609.803
7	8	10	9	62.421	10.36	0.020011	19.2949	1204.41
8	9	11	10	62.781	7.44	0.0200117	18.988	1192.08
9	10	12	11	61.144	9.85	0.0200114	19.1462	1170.67
10	11	13	12	59.463	8.28	0.0200118	18.7237	1113.37
11	12	14	13	62.294	7.93	0.0200094	18.8301	1173
12	13	15	14	57.171	7.15	0.0200121	20.0586	1146.77
13	14	16	15	67.05	7.92	0.0200093	18.2025	1220.48
14	15	17	16	58.66	8	0.0200117	19.6545	1152.93
15	16	18	17	76.495	9.19	0.0200084	18.3828	1406.19
16	17	19	18	78.056	8.45	0.0200091	18.8286	1469.69
17	18	20	19	71.373	7.75	0.0200097	20.2701	1446.74
18	19	21	20	72.819	8.49	0.0200107	18.3173	1333.85
19	20	22	21	78.853	9.55	0.0200096	17.2824	1362.77
20	21	23	22	54.065	9.06	0.020015	18.9626	1025.22
21	22	24	23	65.659	10.12	0.0200114	21.2428	1394.78
22	23	25	24	48.644	8.88	0.020015	19.6516	955.933
23	24	26	25	61.856	9.2	0.0200103	18.6559	1153.98
24	25	27	26	58.975	9.18	0.0200113	18.4255	1086.64
25	26	28	27	71.93	10.17	0.0200085	18.8423	1355.33
26	27	29	28	57.933	9.78	0.0200107	19.9828	1157.67
27	28	30	29	62.913	10.84	0.0200098	19.3933	1220.09
