50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	112.78	-5.4	0.0200101	19.4897	2198.05
2	3	5	4	114.67	-4.84	0.0200093	19.5546	2242.32
3	4	6	5	95.565	-5.19	0.0200111	19.7817	1890.44
4	5	7	6	56.155	-12.54	0.0200174	18.8222	1056.96
5	6	8	7	42.09	-9.78	0.0200222	17.7253	746.056
6	7	9	8	34.721	-5.96	0.0200283	19.572	679.558
7	8	10	9	108.61	-7.82	0.020011	19.2949	2095.62
8	9	11	10	97.737	-5.04	0.0200117	18.988	1855.83
9	10	12	11	99.534	-8.43	0.0200114	19.1462	1905.7
10	11	13	12	99.885	-5.78	0.0200118	18.7237	1870.22
11	12	14	13	125.47	-5.63	0.0200094	18.8301	2362.61
12	13	15	14	81.656	-5.47	0.0200121	20.0586	1637.9
13	14	16	15	108.23	-7.42	0.0200093	18.2025	1970.05
14	15	17	16	104.46	-7.78	0.0200117	19.6545	2053.11
15	16	18	17	113.98	-8	0.0200084	18.3828	2095.27
16	17	19	18	128.597	-6.8	0.0200091	18.8286	2421.31
17	18	20	19	115.327	-6.46	0.0200097	20.2701	2337.69
18	19	21	20	107.73	-7.34	0.0200107	18.3173	1973.33
19	20	22	21	104.89	-8.13	0.0200096	17.2824	1812.75
20	21	23	22	67.394	-7.17	0.020015	18.9626	1277.97
21	22	24	23	97.96	-7.45	0.0200114	21.2428	2080.94
22	23	25	24	75.721	-6.58	0.020015	19.6516	1488.04
23	24	26	25	114.897	-7.72	0.0200103	18.6559	2143.5
24	25	27	26	105.957	-5.9	0.0200113	18.4255	1952.31
25	26	28	27	156.327	-9.6	0.0200085	18.8423	2945.57
26	27	29	28	128.147	-6.67	0.0200107	19.9828	2560.74
27	28	30	29	139.223	-10.57	0.0200098	19.3933	2700
28	29	31	30	111.807	-7.52	0.0200109	18.3405	2050.6
29	30	32	31	92.592	-7.2	0.0200119	19.9388	1846.18
30	31	33	32	81.122	-5.82	0.020013	18.0592	1465
31	32	34	33	67.449	-5.8	0.0200147	18.8302	1270.07
32	33	35	34	56.424	-4.94	0.0200171	20.0747	1132.7
33	34	36	35	81.67	-8.07	0.0200121	18.3368	1497.57
34	35	37	36	82.666	-7.41	0.0200134	19.1405	1582.27
35	36	38	37	59.236	-9.36	0.020021	19.8855	1177.94
36	37	39	38	62.067	-4.54	0.0200187	19.2432	1194.37
37	38	40	39	68.044	-8.5	0.0200164	19.4282	1321.97
38	39	41	40	57.694	-5.4	0.0200184	19.0734	1100.42
39	40	42	41	53.018	-7.93	0.0200203	18.9059	1002.36
40	41	43	42	46.244	-5.66	0.0200201	19.6492	908.658
41	42	44	43	39.986	-6.41	0.0200262	19.3419	773.404
42	43	45	44	40.075	-4.77	0.0200256	18.8629	755.93
43	44	46	45	39.979	-6.78	0.0200256	18.9774	758.697
44	45	47	46	34.125	-5.55	0.0200258	20.4911	699.26
45	46	48	47	29.18	-2.49	0.0200328	18.4756	539.119
46	47	49	48	33.799	-5.33	0.0200284	18.8189	636.058
47	48	50	49	39.737	-6.97	0.0200231	19.4429	772.604
1	3	7	5	30.573	-6.43	0.0200302	41.2338	1260.64
2	4	8	6	28.475	-11.33	0.020034	39.6893	1130.15
3	5	9	7	43.858	-6.09	0.0200232	35.2313	1545.17
4	6	10	8	46.197	-3.09	0.0200213	35.295	1630.52
5	7	11	9	29.531	-7.11	0.0200316	38.1621	1126.97
6	8	12	10	40.727	-9.26	0.0200244	38.2234	1556.72
7	9	13	11	48.342	-6.87	0.0200201	37.8021	1827.43
8	10	14	12	45.008	-6.97	0.0200215	37.0855	1669.14
9	11	15	13	42.559	-7.26	0.0200232	36.7558	1564.29
10	12	16	14	40.256	-7.33	0.0200244	38.5365	1551.32
11	13	17	15	32.027	-7.3	0.0200277	38.0366	1218.2
12	14	18	16	34.362	-7.96	0.0200273	36.8378	1265.82
13	15	19	17	33.305	-7.7	0.020026	38.1369	1270.15
14	16	20	18	38.912	-7.34	0.0200223	38.0523	1480.69
15	17	21	19	31.045	-6.6	0.0200309	41.3243	1282.91
16	18	22	20	30.133	-7.84	0.0200284	38.4701	1159.22
17	19	23	21	30.766	-7.19	0.0200308	31.689	974.945
18	20	24	22	22.548	-7.57	0.0200411	32.247	727.106
19	21	25	23	25.654	-7.79	0.0200383	41.8975	1074.84
20	22	26	24	28.203	-8.06	0.020034	45.4705	1282.4
21	23	27	25	24.523	-8.25	0.0200364	40.1251	983.988
22	24	28	26	32.131	-8.44	0.0200307	35.2891	1133.87
23	25	29	27	43.376	-9.42	0.0200255	35.268	1529.78
24	26	30	28	46.2	-8.94	0.0200243	39.0676	1804.92
25	27	31	29	41.813	-7.43	0.0200233	41.0141	1714.92
26	28	32	30	38.286	-8.6	0.0200265	38.2639	1464.97
27	29	33	31	35.548	-9.43	0.0200273	37.9982	1350.76
28	30	34	32	31.862	-9.57	0.0200283	37.107	1182.3
29	31	35	33	25.977	-7.71	0.0200344	35.1079	911.999
30	32	36	34	21.299	-6.43	0.0200447	37.7517	804.073
31	33	37	35	25.182	-7.71	0.0200387	37.741	950.393
32	34	38	36	27.436	-9.68	0.0200333	36.6457	1005.41
33	35	39	37	21.261	-9.6	0.0200422	39.1332	832.01
34	36	40	38	17.662	-9.61	0.0200505	40.1907	709.849
35	37	41	39	14.476	-9.11	0.0200576	38.9924	564.453
36	38	42	40	11.936	-8.6	0.0200666	37.6275	449.122
37	39	43	41	10.675	-7.79	0.0200773	36.8525	393.4
38	40	44	42	10.143	-6.85	0.0200735	38.3305	388.787
39	41	45	43	9.038	-5.68	0.0200932	38.8612	351.228
40	42	46	44	9.579	-5.65	0.0200944	36.9847	354.276
41	43	47	45	10.026	-5.7	0.020084	36.7617	368.573
42	44	48	46	7.995	-5.57	0.0201032	39.729	317.633
43	45	49	47	7.142	-4.86	0.0201252	38.079	271.96
44	46	50	48	9.004	-1.42	0.0201085	34.5299	310.907
1	4	10	7	26.201	-7.86	0.0200371	57.7962	1514.32
2	5	11	8	35.068	-4.96	0.0200281	53.8762	1889.33
3	6	12	9	30.851	-6.18	0.0200304	53.9967	1665.85
4	7	13	10	19.392	-7.96	0.020045	56.3676	1093.08
5	8	14	11	22.423	-9.56	0.0200401	56.9222	1276.37
6	9	15	12	21.417	-7.38	0.020041	56.1564	1202.7
7	10	16	13	21.328	-7.7	0.0200413	55.0871	1174.9
8	11	17	14	17.768	-8.37	0.0200506	56.3143	1000.59
9	12	18	15	17.25	-8.84	0.0200523	57.0185	983.569
10	13	19	16	13.632	-7.76	0.0200652	58.2143	793.577
11	14	20	17	13.187	-7.68	0.0200605	58.0274	765.207
12	15	21	18	12.602	-7.14	0.0200668	60.4744	762.098
13	16	22	19	11.362	-6.62	0.0200714	61.0698	693.875
14	17	23	20	9.992	-7.05	0.0200816	56.9715	569.259
15	18	24	21	10.146	-7.11	0.020078	49.6	503.241
16	19	25	22	8.731	-6.31	0.0201045	46.861	409.143
17	20	26	23	9.432	-6.93	0.020099	54.564	514.648
18	21	27	24	8.593	-7.23	0.0201048	65.391	561.905
19	22	28	25	9.729	-8.22	0.0200868	67.141	653.214
20	23	29	26	9.129	-7.83	0.0200926	58.6019	534.977
21	24	30	27	13.695	-9.95	0.0200687	53.5354	733.167
22	25	31	28	15.12	-8.53	0.0200646	55.1082	833.236
23	26	32	29	15.767	-7.57	0.0200556	59.7876	942.671
24	27	33	30	13.406	-5.4	0.0200617	60.6365	812.892
25	28	34	31	13.819	-8.58	0.0200624	58.768	812.116
26	29	35	32	14.031	-8.35	0.0200625	55.0542	772.466
27	30	36	33	13.553	-7.92	0.0200645	53.5402	725.63
28	31	37	34	11.956	-7.25	0.0200789	53.0561	634.339
29	32	38	35	11.543	-7.58	0.0200839	54.3529	627.396
30	33	39	36	10.602	-7.45	0.0200891	55.8306	591.916
31	34	40	37	9.368	-8.5	0.0200915	57.8556	541.991
32	35	41	38	8.297	-7.88	0.0200966	60.4598	501.635
33	36	42	39	6.541	-7.19	0.0201229	60.6308	396.586
34	37	43	40	4.978	-8.26	0.0201587	58.4853	291.14
35	38	44	41	4.403	-7.98	0.0201882	56.8277	250.212
36	39	45	42	4.091	-6.87	0.0201945	56.9204	232.861
37	40	46	43	4.034	-7.35	0.0202146	56.966	229.801
38	41	47	44	4.264	-5.99	0.0202107	56.6627	241.61
39	42	48	45	4.453	-6.8	0.0202044	56.0763	249.708
40	43	49	46	4.34	-6.26	0.0202035	57.6134	250.042
41	44	50	47	4.464	-6.18	0.0202136	56.3017	251.331
1	5	13	9	21.466	-8.47	0.0200436	73.8986	1586.31
2	6	14	10	17.694	-8.86	0.0200499	72.1833	1277.21
3	7	15	11	12.786	-9.19	0.0200669	74.3204	950.261
4	8	16	12	12.239	-10.32	0.0200699	73.7078	902.11
5	9	17	13	11.43	-8.89	0.0200743	73.5541	840.723
6	10	18	14	10.062	-10.61	0.0200855	75.4482	759.16
7	11	19	15	9.3	-9.62	0.0200942	75.1184	698.601
8	12	20	16	8.567	-9.79	0.0201084	78.7812	674.919
9	13	21	17	6.689	-8.87	0.0201242	81.5985	545.812
10	14	22	18	6.471	-8.72	0.0201308	80.8826	523.391
11	15	23	19	5.207	-7.84	0.0201645	81.7902	425.882
12	16	24	20	4.969	-8.09	0.0201574	75.0927	373.135
13	17	25	21	4.873	-7.4	0.0201726	68.3166	332.907
14	18	26	22	4.364	-7.3	0.0201952	65.6202	286.367
15	19	27	23	4.913	-6.95	0.0201935	69.1392	339.681
16	20	28	24	4.678	-7.74	0.0202012	77.1256	360.794
17	21	29	25	4.682	-8.68	0.0201914	85.0274	398.098
18	22	30	26	5.356	-8.9	0.0201665	84.7281	453.804
19	23	31	27	5.843	-9.99	0.0201525	78.125	456.484
20	24	32	28	6.87	-9.58	0.0201326	75.9829	522.003
21	25	33	29	7.319	-9.22	0.0201177	76.8966	562.806
22	26	34	30	7.047	-7.58	0.0201178	77.2532	544.404
23	27	35	31	6.78	-7.05	0.0201196	79.2451	537.282
24	28	36	32	7.533	-9.65	0.0201138	74.6808	562.57
