50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	83.183	-6.02	0.0200101	19.4897	1621.21
2	3	5	4	83.231	-5.29	0.0200093	19.5546	1627.55
3	4	6	5	69.989	-4.43	0.0200111	19.7817	1384.5
4	5	7	6	44.143	-12.99	0.0200174	18.8222	830.867
5	6	8	7	36.415	-10.42	0.0200222	17.7253	645.465
6	7	9	8	30.288	-6.51	0.0200283	19.572	592.795
7	8	10	9	81.692	-7.8	0.020011	19.2949	1576.24
8	9	11	10	74.579	-4.76	0.0200117	18.988	1416.1
9	10	12	11	74.383	-8.19	0.0200114	19.1462	1424.15
10	11	13	12	72.458	-5.99	0.0200118	18.7237	1356.68
11	12	14	13	85.033	-4.9	0.0200094	18.8301	1601.18
12	13	15	14	63.604	-5.6	0.0200121	20.0586	1275.81
13	14	16	15	80.637	-7.25	0.0200093	18.2025	1467.79
14	15	17	16	79.069	-7.4	0.0200117	19.6545	1554.06
15	16	18	17	83.583	-8.03	0.0200084	18.3828	1536.49
16	17	19	18	91.513	-6.52	0.0200091	18.8286	1723.06
17	18	20	19	81.324	-6.28	0.0200097	20.2701	1648.45
18	19	21	20	78.872	-6.77	0.0200107	18.3173	1444.73
19	20	22	21	78.153	-7.89	0.0200096	17.2824	1350.67
20	21	23	22	52.094	-7.75	0.020015	18.9626	987.84
21	22	24	23	65.606	-7.82	0.0200114	21.2428	1393.65
22	23	25	24	49.916	-7.2	0.020015	19.6516	980.93
23	24	26	25	68.749	-7.74	0.0200103	18.6559	1282.57
24	25	27	26	66.578	-6.52	0.0200113	18.4255	1226.73
25	26	28	27	92.313	-8.75	0.0200085	18.8423	1739.39
26	27	29	28	83.043	-7.54	0.0200107	19.9828	1659.43
27	28	30	29	93.913	-10.71	0.0200098	19.3933	1821.29
28	29	31	30	77.166	-8.33	0.0200109	18.3405	1415.27
29	30	32	31	65.189	-7.97	0.0200119	19.9388	1299.79
30	31	33	32	59.076	-6.73	0.020013	18.0592	1066.87
31	32	34	33	51.538	-7.43	0.0200147	18.8302	970.468
32	33	35	34	43.054	-6.42	0.0200171	20.0747	864.298
33	34	36	35	60.475	-8.06	0.0200121	18.3368	1108.92
34	35	37	36	51.943	-8.68	0.0200134	19.1405	994.217
35	36	38	37	42.215	-8.74	0.020021	19.8855	839.467
36	37	39	38	44.183	-7.93	0.0200187	19.2432	850.221
37	38	40	39	44.175	-8.27	0.0200164	19.4282	858.241
38	39	41	40	38.724	-7.76	0.0200184	19.0734	738.597
39	40	42	41	35.892	-9.01	0.0200203	18.9059	678.572
40	41	43	42	34.165	-6.8	0.0200201	19.6492	671.315
41	42	44	43	29.625	-7.64	0.0200262	19.3419	573.003
42	43	45	44	29.446	-7.16	0.0200256	18.8629	555.436
43	44	46	45	30.698	-7.73	0.0200256	18.9774	582.568
44	45	47	46	28.295	-7.3	0.0200258	20.4911	579.797
45	46	48	47	25.113	-5.56	0.0200328	18.4756	463.979
46	47	49	48	27.467	-0.18	0.0200284	18.8189	516.897
47	48	50	49	35.705	-8.31	0.0200231	19.4429	694.21
1	3	7	5	26.561	-6.94	0.0200302	41.2338	1095.21
2	4	8	6	24.384	-11.84	0.020034	39.6893	967.785
3	5	9	7	35.972	-6.27	0.0200232	35.2313	1267.34
4	6	10	8	37.741	-2.26	0.0200213	35.295	1332.07
5	7	11	9	24.722	-7.42	0.0200316	38.1621	943.444
6	8	12	10	32.867	-9.12	0.0200244	38.2234	1256.29
7	9	13	11	41.5	-6.72	0.0200201	37.8021	1568.79
8	10	14	12	39.311	-6.71	0.0200215	37.0855	1457.87
9	11	15	13	34.003	-7.2	0.0200232	36.7558	1249.81
10	12	16	14	32.352	-7.25	0.0200244	38.5365	1246.73
11	13	17	15	27.531	-7.64	0.0200277	38.0366	1047.18
12	14	18	16	28.544	-7.99	0.0200273	36.8378	1051.5
13	15	19	17	27.886	-7.84	0.020026	38.1369	1063.49
14	16	20	18	31.123	-7.21	0.0200223	38.0523	1184.3
15	17	21	19	26.364	-6.9	0.0200309	41.3243	1089.47
16	18	22	20	26.619	-5.91	0.0200284	38.4701	1024.04
17	19	23	21	25.895	-6.24	0.0200308	31.689	820.588
18	20	24	22	19.499	-7.6	0.0200411	32.247	628.785
19	21	25	23	20.816	-8.03	0.0200383	41.8975	872.139
20	22	26	24	21.592	-7.82	0.020034	45.4705	981.798
21	23	27	25	19.938	-8.08	0.0200364	40.1251	800.015
22	24	28	26	25.459	-7.81	0.0200307	35.2891	898.425
23	25	29	27	32.109	-8.14	0.0200255	35.268	1132.42
24	26	30	28	34.085	-8.91	0.0200243	39.0676	1331.62
25	27	31	29	30.901	-8.79	0.0200233	41.0141	1267.38
26	28	32	30	29.812	-8.85	0.0200265	38.2639	1140.72
27	29	33	31	29.35	-9.08	0.0200273	37.9982	1115.25
28	30	34	32	27.135	-8.73	0.0200283	37.107	1006.9
29	31	35	33	22.317	-8.15	0.0200344	35.1079	783.504
30	32	36	34	18.426	-7.24	0.0200447	37.7517	695.613
31	33	37	35	21.732	-7.32	0.0200387	37.741	820.187
32	34	38	36	21.609	-8.44	0.0200333	36.6457	791.878
33	35	39	37	17.449	-9.46	0.0200422	39.1332	682.834
34	36	40	38	14.983	-8.72	0.0200505	40.1907	602.178
35	37	41	39	12.703	-7.89	0.0200576	38.9924	495.32
36	38	42	40	9.9	-9.35	0.0200666	37.6275	372.512
37	39	43	41	9.026	-9.75	0.0200773	36.8525	332.631
38	40	44	42	9.389	-9.08	0.0200735	38.3305	359.885
39	41	45	43	8.755	-7.87	0.0200932	38.8612	340.23
40	42	46	44	8.857	-8.4	0.0200944	36.9847	327.573
41	43	47	45	9.107	-6.83	0.020084	36.7617	334.789
42	44	48	46	8.003	-7.36	0.0201032	39.729	317.951
43	45	49	47	7.52	-7.02	0.0201252	38.079	286.354
44	46	50	48	8.89	-3.4	0.0201085	34.5299	306.971
1	4	10	7	22.937	-8.78	0.0200371	57.7962	1325.67
2	5	11	8	29.185	-4.39	0.0200281	53.8762	1572.38
3	6	12	9	25.612	-5.88	0.0200304	53.9967	1382.96
4	7	13	10	17.023	-7.79	0.020045	56.3676	959.545
5	8	14	11	20.064	-10.22	0.0200401	56.9222	1142.09
6	9	15	12	20.407	-7.16	0.020041	56.1564	1145.98
7	10	16	13	19.686	-7.76	0.0200413	55.0871	1084.44
8	11	17	14	16.138	-8.27	0.0200506	56.3143	908.8
9	12	18	15	15.215	-8.99	0.0200523	57.0185	867.536
10	13	19	16	12.508	-7.92	0.0200652	58.2143	728.144
11	14	20	17	11.897	-7.99	0.0200605	58.0274	690.351
12	15	21	18	11.492	-7.2	0.0200668	60.4744	694.971
13	16	22	19	10.711	-10.6	0.0200714	61.0698	654.118
14	17	23	20	10.034	-7.28	0.0200816	56.9715	571.652
15	18	24	21	9.914	-7.82	0.020078	49.6	491.734
16	19	25	22	8.367	-7.02	0.0201045	46.861	392.086
17	20	26	23	8.559	-8.18	0.020099	54.564	467.013
18	21	27	24	7.9	-8.47	0.0201048	65.391	516.589
19	22	28	25	8.959	-8.56	0.0200868	67.141	601.516
20	23	29	26	9.03	-8.98	0.0200926	58.6019	529.176
21	24	30	27	12.415	-9.88	0.0200687	53.5354	664.642
22	25	31	28	13.108	-9.36	0.0200646	55.1082	722.359
23	26	32	29	13.145	-9.94	0.0200556	59.7876	785.908
24	27	33	30	11.519	-8.33	0.0200617	60.6365	698.471
25	28	34	31	12.52	-9.67	0.0200624	58.768	735.776
26	29	35	32	13.222	-9.33	0.0200625	55.0542	727.927
27	30	36	33	12.866	-8.78	0.0200645	53.5402	688.848
28	31	37	34	11.157	-8.65	0.0200789	53.0561	591.947
29	32	38	35	10.749	-8.34	0.0200839	54.3529	584.239
30	33	39	36	9.659	-8.33	0.0200891	55.8306	539.268
31	34	40	37	8.894	-9.46	0.0200915	57.8556	514.568
32	35	41	38	7.759	-8.97	0.0200966	60.4598	469.108
33	36	42	39	6.343	-8.05	0.0201229	60.6308	384.581
34	37	43	40	4.917	-7.92	0.0201587	58.4853	287.572
35	38	44	41	4.285	-7.78	0.0201882	56.8277	243.507
36	39	45	42	4.121	-7.28	0.0201945	56.9204	234.569
37	40	46	43	4.181	-6.78	0.0202146	56.966	238.175
38	41	47	44	4.407	-5.96	0.0202107	56.6627	249.713
39	42	48	45	4.528	-6.66	0.0202044	56.0763	253.913
40	43	49	46	4.446	-6.41	0.0202035	57.6134	256.149
41	44	50	47	4.671	-6.09	0.0202136	56.3017	262.985
1	5	13	9	18.484	-8.2	0.0200436	73.8986	1365.94
2	6	14	10	15.658	-8.31	0.0200499	72.1833	1130.25
3	7	15	11	11.956	-9.18	0.0200669	74.3204	888.575
4	8	16	12	11.87	-10.05	0.0200699	73.7078	874.912
5	9	17	13	11.223	-8.67	0.0200743	73.5541	825.498
6	10	18	14	9.942	-10.3	0.0200855	75.4482	750.106
7	11	19	15	8.853	-9.64	0.0200942	75.1184	665.023
8	12	20	16	7.975	-9.55	0.0201084	78.7812	628.28
9	13	21	17	6.43	-9.14	0.0201242	81.5985	524.678
10	14	22	18	6.142	-8.68	0.0201308	80.8826	496.781
11	15	23	19	5.257	-7.9	0.0201645	81.7902	429.971
12	16	24	20	5.183	-8.01	0.0201574	75.0927	389.205
13	17	25	21	5.052	-7.03	0.0201726	68.3166	345.135
14	18	26	22	4.5	-7.24	0.0201952	65.6202	295.291
15	19	27	23	4.793	-6.47	0.0201935	69.1392	331.384
16	20	28	24	4.572	-7.69	0.0202012	77.1256	352.618
17	21	29	25	4.735	-7.84	0.0201914	85.0274	402.605
18	22	30	26	5.474	-8.64	0.0201665	84.7281	463.801
19	23	31	27	5.999	-9.01	0.0201525	78.125	468.672
20	24	32	28	6.784	-9.36	0.0201326	75.9829	515.468
21	25	33	29	6.859	-9.68	0.0201177	76.8966	527.434
22	26	34	30	6.572	-8.04	0.0201178	77.2532	507.708
23	27	35	31	6.472	-7.96	0.0201196	79.2451	512.874
24	28	36	32	7.391	-8.6	0.0201138	74.6808	551.966
25	29	37	33	8.021	-8.1	0.0201121	70.5189	565.632
26	30	38	34	7.985	-7.61	0.0201171	70.6124	563.84
27	31	39	35	7.989	-7.43	0.0201207	68.644	548.397
28	32	40	36	6.796	-8.29	0.020139	72.0684	489.777
29	33	41	37	5.979	-7.42	0.0201568	76.7449	458.858
30	34	42	38	5.422	-7.59	0.0201585	78.539	425.838
31	35	43	39	4.49	-7.33	0.0201851	81.7644	367.122
32	36	44	40	3.698	-6.55	0.020235	81.0234	299.624
33	37	45	41	3.214	-6.73	0.02028	78.2501	251.496
34	38	46	42	2.994	-6.62	0.0203032	77.2606	231.318
35	39	47	43	2.893	-6.04	0.0203336	75.9677	219.775
36	40	48	44	3.022	-5.87	0.0203228	75.1232	227.022
37	41	49	45	3.228	-4.77	0.0203077	74.9336	241.886
38	42	50	46	3.387	-5.51	0.0202976	75.6545	256.242
1	6	16	11	10.394	-8.63	0.0200786	90.9501	945.335
2	7	17	12	7.559	-8.77	0.020111	91.3193	690.283
3	8	18	13	7.25	-10.07	0.0201167	90.9858	659.647
4	9	19	14	6.62	-8.85	0.0201322	92.9138	615.09
5	10	20	15	5.979	-9.63	0.0201462	95.1741	569.046
6	11	21	16	5.022	-9.57	0.0201796	99.3029	498.699
7	12	22	17	4.651	-8.75	0.0201845	102.106	474.893
8	13	23	18	4.042	-7.86	0.0202211	102.067	412.555
9	14	24	19	3.568	-8.05	0.0202541	100.554	358.775
10	15	25	20	3.359	-7.38	0.0202725	96.4365	323.93
11	16	26	21	3.449	-7.11	0.0202573	87.8534	303.006
12	17	27	22	3.176	-7.33	0.0203008	84.6929	268.985
13	18	28	23	3.381	-7.03	0.0202779	87.7199	296.581
14	19	29	24	3.518	-7.09	0.0202782	91.2105	320.878
15	20	30	25	3.658	-8.5	0.0202655	96.862	354.321
16	21	31	26	3.805	-8.32	0.0202608	102.703	390.785
17	22	32	27	4.443	-8.49	0.0202169	103.597	460.279
18	23	33	28	4.456	-8.88	0.0202141	100.241	446.672
19	24	34	29	4.682	-9.01	0.020189	97.8299	458.04
20	25	35	30	4.612	-8.19	0.0201877	95.8382	442.006
21	26	36	31	4.732	-8.66	0.0201787	95.9768	454.162
22	27	37	32	4.855	-7.71	0.0201763	92.2896	448.066
23	28	38	33	5.519	-10.21	0.0201646	87.7721	484.414
24	29	39	34	5.98	-7.33	0.0201632	86.655	518.197
25	30	40	35	6.347	-7.22	0.0201557	86.3045	547.774
