50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	97.981	-6.29	0.0200101	19.4897	1909.62
2	3	5	4	102.98	-5.15	0.0200093	19.5546	2013.73
3	4	6	5	83.703	-4.83	0.0200111	19.7817	1655.79
4	5	7	6	52.601	-14.14	0.0200174	18.8222	990.065
5	6	8	7	42.117	-9.72	0.0200222	17.7253	746.534
6	7	9	8	33.449	-6.94	0.0200283	19.572	654.662
7	8	10	9	100.69	-7.92	0.020011	19.2949	1942.8
8	9	11	10	89.856	-5	0.0200117	18.988	1706.18
9	10	12	11	89.747	-8.25	0.0200114	19.1462	1718.31
10	11	13	12	89.151	-5.92	0.0200118	18.7237	1669.24
11	12	14	13	109.283	-6.03	0.0200094	18.8301	2057.81
12	13	15	14	77.592	-4.81	0.0200121	20.0586	1556.39
13	14	16	15	96.935	-7.54	0.0200093	18.2025	1764.46
14	15	17	16	91.95	-7.83	0.0200117	19.6545	1807.23
15	16	18	17	104.007	-8.02	0.0200084	18.3828	1911.94
16	17	19	18	111.124	-7.44	0.0200091	18.8286	2092.31
17	18	20	19	98.618	-6.56	0.0200097	20.2701	1999
18	19	21	20	96.483	-7.36	0.0200107	18.3173	1767.31
19	20	22	21	94.301	-8.33	0.0200096	17.2824	1629.75
20	21	23	22	60.121	-8.22	0.020015	18.9626	1140.05
21	22	24	23	82.801	-7.89	0.0200114	21.2428	1758.92
22	23	25	24	63.785	-7.32	0.020015	19.6516	1253.48
23	24	26	25	92.031	-8.08	0.0200103	18.6559	1716.92
24	25	27	26	94.235	-6.57	0.0200113	18.4255	1736.32
25	26	28	27	127.06	-9.76	0.0200085	18.8423	2394.11
26	27	29	28	111.367	-8.09	0.0200107	19.9828	2225.43
27	28	30	29	119.223	-11.5	0.0200098	19.3933	2312.13
28	29	31	30	99.585	-8.9	0.0200109	18.3405	1826.44
29	30	32	31	80.428	-8.55	0.0200119	19.9388	1603.64
30	31	33	32	71.797	-7.13	0.020013	18.0592	1296.6
31	32	34	33	62.365	-7.29	0.0200147	18.8302	1174.34
32	33	35	34	51.393	-6.07	0.0200171	20.0747	1031.7
33	34	36	35	72.6	-8.53	0.0200121	18.3368	1331.25
34	35	37	36	71.023	-8.85	0.0200134	19.1405	1359.42
35	36	38	37	50.586	-8.86	0.020021	19.8855	1005.93
36	37	39	38	57.724	-8.5	0.0200187	19.2432	1110.79
37	38	40	39	58.614	-8.49	0.0200164	19.4282	1138.77
38	39	41	40	51.179	-6.94	0.0200184	19.0734	976.156
39	40	42	41	47.012	-8.89	0.0200203	18.9059	888.806
40	41	43	42	43.776	-6.02	0.0200201	19.6492	860.164
41	42	44	43	36.34	-7.37	0.0200262	19.3419	702.884
42	43	45	44	37.469	-6.04	0.0200256	18.8629	706.773
43	44	46	45	36.745	-7.42	0.0200256	18.9774	697.324
44	45	47	46	34.033	-6.64	0.0200258	20.4911	697.375
45	46	48	47	27.693	-3.49	0.0200328	18.4756	511.646
46	47	49	48	31.783	-4.48	0.0200284	18.8189	598.12
47	48	50	49	39.186	-7.68	0.0200231	19.4429	761.891
1	3	7	5	29.612	-6.45	0.0200302	41.2338	1221.02
2	4	8	6	26.993	-12.18	0.020034	39.6893	1071.33
3	5	9	7	40.622	-6.44	0.0200232	35.2313	1431.16
4	6	10	8	42.651	-2.77	0.0200213	35.295	1505.37
5	7	11	9	28.527	-7.4	0.0200316	38.1621	1088.65
6	8	12	10	39.814	-8.66	0.0200244	38.2234	1521.83
7	9	13	11	46.546	-6.76	0.0200201	37.8021	1759.53
8	10	14	12	41.705	-7.33	0.0200215	37.0855	1546.65
9	11	15	13	38.542	-7.87	0.0200232	36.7558	1416.64
10	12	16	14	37.82	-7.87	0.0200244	38.5365	1457.45
11	13	17	15	31.069	-7.65	0.0200277	38.0366	1181.76
12	14	18	16	32.224	-7.81	0.0200273	36.8378	1187.06
13	15	19	17	32.595	-7.34	0.020026	38.1369	1243.07
14	16	20	18	37.714	-7.52	0.0200223	38.0523	1435.1
15	17	21	19	29.928	-6.81	0.0200309	41.3243	1236.75
16	18	22	20	30.111	-7.18	0.0200284	38.4701	1158.37
17	19	23	21	29.719	-6.8	0.0200308	31.689	941.767
18	20	24	22	22.09	-7.78	0.0200411	32.247	712.337
19	21	25	23	24.667	-7.78	0.0200383	41.8975	1033.49
20	22	26	24	26.638	-7.77	0.020034	45.4705	1211.24
21	23	27	25	22.833	-8.24	0.0200364	40.1251	916.177
22	24	28	26	30.898	-8.43	0.0200307	35.2891	1090.36
23	25	29	27	40.507	-9.08	0.0200255	35.268	1428.6
24	26	30	28	41.324	-8.95	0.0200243	39.0676	1614.43
25	27	31	29	39.493	-7.91	0.0200233	41.0141	1619.77
26	28	32	30	36.751	-8.81	0.0200265	38.2639	1406.23
27	29	33	31	34.915	-9.48	0.0200273	37.9982	1326.71
28	30	34	32	30.431	-9.48	0.0200283	37.107	1129.2
29	31	35	33	24.534	-7.73	0.0200344	35.1079	861.338
30	32	36	34	20.042	-7.21	0.0200447	37.7517	756.619
31	33	37	35	24.008	-7.65	0.0200387	37.741	906.085
32	34	38	36	26.56	-9.64	0.0200333	36.6457	973.311
33	35	39	37	20.853	-9.38	0.0200422	39.1332	816.044
34	36	40	38	17.242	-9.25	0.0200505	40.1907	692.969
35	37	41	39	14.784	-8.71	0.0200576	38.9924	576.463
36	38	42	40	11.696	-8.33	0.0200666	37.6275	440.091
37	39	43	41	10.459	-7.94	0.0200773	36.8525	385.44
38	40	44	42	10.456	-7.4	0.0200735	38.3305	400.784
39	41	45	43	9.199	-7.89	0.0200932	38.8612	357.484
40	42	46	44	9.803	-7.82	0.0200944	36.9847	362.561
41	43	47	45	10.238	-6.67	0.020084	36.7617	376.366
42	44	48	46	8.463	-7.24	0.0201032	39.729	336.226
43	45	49	47	7.487	-6.34	0.0201252	38.079	285.098
44	46	50	48	8.799	-3.03	0.0201085	34.5299	303.829
1	4	10	7	24.404	-9.11	0.0200371	57.7962	1410.46
2	5	11	8	32.096	-4.85	0.0200281	53.8762	1729.21
3	6	12	9	29.085	-5.89	0.0200304	53.9967	1570.49
4	7	13	10	19.201	-7.51	0.020045	56.3676	1082.31
5	8	14	11	22.278	-9.05	0.0200401	56.9222	1268.11
6	9	15	12	20.896	-7.67	0.020041	56.1564	1173.44
7	10	16	13	20.097	-9.04	0.0200413	55.0871	1107.09
8	11	17	14	16.931	-9.3	0.0200506	56.3143	953.457
9	12	18	15	16.508	-9.99	0.0200523	57.0185	941.261
10	13	19	16	13.431	-8.52	0.0200652	58.2143	781.876
11	14	20	17	13.208	-7.55	0.0200605	58.0274	766.425
12	15	21	18	12.718	-6.81	0.0200668	60.4744	769.113
13	16	22	19	11.659	-6.46	0.0200714	61.0698	712.012
14	17	23	20	10.55	-6.59	0.0200816	56.9715	601.049
15	18	24	21	10.593	-6.67	0.020078	49.6	525.413
16	19	25	22	8.96	-7.56	0.0201045	46.861	419.874
17	20	26	23	9.597	-8.22	0.020099	54.564	523.651
18	21	27	24	8.841	-8.41	0.0201048	65.391	578.122
19	22	28	25	9.799	-8.8	0.0200868	67.141	657.914
20	23	29	26	9.517	-9.32	0.0200926	58.6019	557.715
21	24	30	27	13.562	-10.83	0.0200687	53.5354	726.047
22	25	31	28	14.772	-9.58	0.0200646	55.1082	814.059
23	26	32	29	15.114	-9.2	0.0200556	59.7876	903.63
24	27	33	30	13.604	-7.56	0.0200617	60.6365	824.898
25	28	34	31	14.123	-10.61	0.0200624	58.768	829.981
