50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
22	23	25	24	43.742	-7.73	0.020015	19.6516	859.601
23	24	26	25	57.089	-8.2	0.0200103	18.6559	1065.04
24	25	27	26	56.782	-8.21	0.0200113	18.4255	1046.24
25	26	28	27	68.198	-9.35	0.0200085	18.8423	1285.01
26	27	29	28	60.556	-8.96	0.0200107	19.9828	1210.08
27	28	30	29	65.124	-10.67	0.0200098	19.3933	1262.97
28	29	31	30	63.856	-9.71	0.0200109	18.3405	1171.15
29	30	32	31	51.711	-8.64	0.0200119	19.9388	1031.06
30	31	33	32	49.489	-7.32	0.020013	18.0592	893.732
31	32	34	33	48.178	-8.94	0.0200147	18.8302	907.199
32	33	35	34	39.201	-7.38	0.0200171	20.0747	786.95
33	34	36	35	52.873	-9.12	0.0200121	18.3368	969.522
34	35	37	36	44.248	-9.34	0.0200134	19.1405	846.931
35	36	38	37	35.685	-8.69	0.020021	19.8855	709.614
36	37	39	38	37.03	-8.84	0.0200187	19.2432	712.575
37	38	40	39	35.598	-8.27	0.0200164	19.4282	691.605
38	39	41	40	32.999	-7.72	0.0200184	19.0734	629.402
39	40	42	41	30.047	-9.09	0.0200203	18.9059	568.067
40	41	43	42	30.095	-7.68	0.0200201	19.6492	591.343
41	42	44	43	27.351	-8.05	0.0200262	19.3419	529.02
42	43	45	44	26.334	-7.85	0.0200256	18.8629	496.735
43	44	46	45	28.562	-7.99	0.0200256	18.9774	542.032
44	45	47	46	26.347	-8.39	0.0200258	20.4911	539.88
45	46	48	47	24.708	-6.17	0.0200328	18.4756	456.496
46	47	49	48	25.631	-1.48	0.0200284	18.8189	482.346
47	48	50	49	35.38	-8.87	0.0200231	19.4429	687.892
1	3	7	5	25.589	-7.38	0.0200302	41.2338	1055.13
2	4	8	6	23.162	-12.37	0.020034	39.6893	919.285
3	5	9	7	32.343	-6.15	0.0200232	35.2313	1139.48
4	6	10	8	33.833	-3.27	0.0200213	35.295	1194.14
5	7	11	9	23.111	-8.79	0.0200316	38.1621	881.965
6	8	12	10	30.695	-9	0.0200244	38.2234	1173.27
7	9	13	11	39.943	-6.48	0.0200201	37.8021	1509.93
8	10	14	12	36.399	-7.02	0.0200215	37.0855	1349.87
9	11	15	13	30.1	-7.81	0.0200232	36.7558	1106.35
10	12	16	14	30.519	-7.31	0.0200244	38.5365	1176.09
11	13	17	15	27.225	-7.65	0.0200277	38.0366	1035.55
12	14	18	16	25.84	-7.93	0.0200273	36.8378	951.89
13	15	19	17	27.049	-7.3	0.020026	38.1369	1031.56
14	16	20	18	30.932	-6.95	0.0200223	38.0523	1177.03
15	17	21	19	25.904	-6.7	0.0200309	41.3243	1070.46
16	18	22	20	26.437	-6.6	0.0200284	38.4701	1017.03
17	19	23	21	24.608	-6.25	0.0200308	31.689	779.804
18	20	24	22	17.921	-7.86	0.0200411	32.247	577.899
19	21	25	23	18.006	-8.18	0.0200383	41.8975	754.407
20	22	26	24	19.217	-7.79	0.020034	45.4705	873.806
21	23	27	25	18.23	-7.33	0.0200364	40.1251	731.481
22	24	28	26	21.075	-7.96	0.0200307	35.2891	743.718
23	25	29	27	25.156	-8.35	0.0200255	35.268	887.202
24	26	30	28	26.474	-9.08	0.0200243	39.0676	1034.27
25	27	31	29	25.049	-8.98	0.0200233	41.0141	1027.36
26	28	32	30	25.933	-8.72	0.0200265	38.2639	992.296
27	29	33	31	25.845	-8.97	0.0200273	37.9982	982.063
28	30	34	32	23.566	-8.3	0.0200283	37.107	874.463
29	31	35	33	21.44	-7.78	0.0200344	35.1079	752.714
30	32	36	34	18.114	-7.82	0.0200447	37.7517	683.834
31	33	37	35	19.822	-7.77	0.0200387	37.741	748.101
32	34	38	36	19.086	-8.53	0.0200333	36.6457	699.42
33	35	39	37	16.228	-8.69	0.0200422	39.1332	635.053
34	36	40	38	14.11	-8.58	0.0200505	40.1907	567.091
35	37	41	39	11.717	-7.54	0.0200576	38.9924	456.873
36	38	42	40	9.225	-8.37	0.0200666	37.6275	347.114
37	39	43	41	8.715	-8.53	0.0200773	36.8525	321.17
38	40	44	42	9.199	-8.37	0.0200735	38.3305	352.602
39	41	45	43	8.834	-7.71	0.0200932	38.8612	343.3
40	42	46	44	8.629	-7.61	0.0200944	36.9847	319.141
41	43	47	45	8.565	-6.88	0.020084	36.7617	314.864
42	44	48	46	8.076	-7.79	0.0201032	39.729	320.851
43	45	49	47	8.1	-6.55	0.0201252	38.079	308.44
44	46	50	48	8.888	-1.82	0.0201085	34.5299	306.902
1	4	10	7	21.439	-8.73	0.0200371	57.7962	1239.09
2	5	11	8	26.145	-5.76	0.0200281	53.8762	1408.59
3	6	12	9	23.145	-7.59	0.0200304	53.9967	1249.75
4	7	13	10	16.74	-8.72	0.020045	56.3676	943.593
5	8	14	11	19.965	-9.62	0.0200401	56.9222	1136.45
6	9	15	12	20.893	-7.63	0.020041	56.1564	1173.27
7	10	16	13	19.112	-8.92	0.0200413	55.0871	1052.82
8	11	17	14	16.086	-9.74	0.0200506	56.3143	905.871
9	12	18	15	14.848	-10.43	0.0200523	57.0185	846.61
10	13	19	16	12.389	-9.29	0.0200652	58.2143	721.216
11	14	20	17	11.921	-9.01	0.0200605	58.0274	691.744
12	15	21	18	11.794	-7.87	0.0200668	60.4744	713.235
13	16	22	19	11.43	-7.48	0.0200714	61.0698	698.027
14	17	23	20	10.8	-7.55	0.0200816	56.9715	615.292
15	18	24	21	10.241	-6.83	0.020078	49.6	507.953
16	19	25	22	7.964	-6.67	0.0201045	46.861	373.201
17	20	26	23	7.77	-7.82	0.020099	54.564	423.962
18	21	27	24	7.272	-7.92	0.0201048	65.391	475.524
19	22	28	25	8.392	-8.02	0.0200868	67.141	563.447
20	23	29	26	8.343	-8.47	0.0200926	58.6019	488.916
21	24	30	27	10.375	-9.13	0.0200687	53.5354	555.43
22	25	31	28	11.098	-9.36	0.0200646	55.1082	611.591
23	26	32	29	11.556	-9.1	0.0200556	59.7876	690.906
24	27	33	30	11.177	-8.43	0.0200617	60.6365	677.734
25	28	34	31	11.81	-8.79	0.0200624	58.768	694.051
26	29	35	32	12.585	-8.6	0.0200625	55.0542	692.857
27	30	36	33	12.366	-8.5	0.0200645	53.5402	662.078
28	31	37	34	10.948	-8.25	0.0200789	53.0561	580.858
29	32	38	35	10.391	-8.24	0.0200839	54.3529	564.781
30	33	39	36	9.09	-7.85	0.0200891	55.8306	507.5
31	34	40	37	8.539	-8.57	0.0200915	57.8556	494.029
32	35	41	38	7.72	-8.29	0.0200966	60.4598	466.75
33	36	42	39	6.371	-7.36	0.0201229	60.6308	386.279
34	37	43	40	4.991	-7.31	0.0201587	58.4853	291.9
35	38	44	41	4.326	-6.81	0.0201882	56.8277	245.837
36	39	45	42	4.273	-6.53	0.0201945	56.9204	243.221
37	40	46	43	4.345	-6.64	0.0202146	56.966	247.517
38	41	47	44	4.466	-6	0.0202107	56.6627	253.056
39	42	48	45	4.533	-6.41	0.0202044	56.0763	254.194
40	43	49	46	4.471	-6.25	0.0202035	57.6134	257.59
41	44	50	47	4.889	-6.21	0.0202136	56.3017	275.259
1	5	13	9	17.036	-7.93	0.0200436	73.8986	1258.94
2	6	14	10	15.061	-7.84	0.0200499	72.1833	1087.15
3	7	15	11	12.059	-8.68	0.0200669	74.3204	896.23
4	8	16	12	12.278	-9.28	0.0200699	73.7078	904.985
5	9	17	13	11.594	-8.31	0.0200743	73.5541	852.786
6	10	18	14	10.321	-10.08	0.0200855	75.4482	778.701
7	11	19	15	8.959	-10.52	0.0200942	75.1184	672.986
8	12	20	16	7.789	-10.13	0.0201084	78.7812	613.627
9	13	21	17	6.671	-9.03	0.0201242	81.5985	544.344
10	14	22	18	6.268	-8.33	0.0201308	80.8826	506.972
11	15	23	19	5.577	-7.13	0.0201645	81.7902	456.144
12	16	24	20	5.714	-6.9	0.0201574	75.0927	429.079
13	17	25	21	5.359	-7.87	0.0201726	68.3166	366.109
14	18	26	22	4.575	-6.08	0.0201952	65.6202	300.212
15	19	27	23	4.576	-4.59	0.0201935	69.1392	316.381
16	20	28	24	4.36	-7.08	0.0202012	77.1256	336.268
17	21	29	25	4.549	-7.48	0.0201914	85.0274	386.79
18	22	30	26	5.188	-8.28	0.0201665	84.7281	439.569
19	23	31	27	5.633	-8.21	0.0201525	78.125	440.078
20	24	32	28	6.244	-9.24	0.0201326	75.9829	474.437
21	25	33	29	6.454	-9.27	0.0201177	76.8966	496.29
22	26	34	30	6.626	-8.25	0.0201178	77.2532	511.88
23	27	35	31	6.581	-7.94	0.0201196	79.2451	521.512
24	28	36	32	7.345	-7.67	0.0201138	74.6808	548.53
25	29	37	33	8.076	-7.86	0.0201121	70.5189	569.511
26	30	38	34	7.763	-7.22	0.0201171	70.6124	548.164
27	31	39	35	7.757	-7.42	0.0201207	68.644	532.471
28	32	40	36	6.619	-7.82	0.020139	72.0684	477.02
29	33	41	37	5.847	-7.24	0.0201568	76.7449	448.728
30	34	42	38	5.443	-7.13	0.0201585	78.539	427.488
31	35	43	39	4.574	-6.81	0.0201851	81.7644	373.99
32	36	44	40	3.84	-6.4	0.020235	81.0234	311.13
33	37	45	41	3.342	-6.35	0.02028	78.2501	261.512
34	38	46	42	3.098	-5.75	0.0203032	77.2606	239.353
35	39	47	43	3.015	-5.68	0.0203336	75.9677	229.043
36	40	48	44	3.097	-6.05	0.0203228	75.1232	232.657
37	41	49	45	3.276	-5.38	0.0203077	74.9336	245.482
38	42	50	46	3.44	-5.76	0.0202976	75.6545	260.251
1	6	16	11	10.348	-8.02	0.0200786	90.9501	941.152
2	7	17	12	7.814	-8.62	0.020111	91.3193	713.569
3	8	18	13	7.434	-9.61	0.0201167	90.9858	676.388
4	9	19	14	7.072	-8.78	0.0201322	92.9138	657.087
5	10	20	15	6.169	-9.75	0.0201462	95.1741	587.129
6	11	21	16	5.023	-10.32	0.0201796	99.3029	498.798
7	12	22	17	4.723	-9.44	0.0201845	102.106	482.245
8	13	23	18	4.173	-7.94	0.0202211	102.067	425.926
9	14	24	19	3.659	-7.64	0.0202541	100.554	367.926
10	15	25	20	3.553	-6.8	0.0202725	96.4365	342.639
11	16	26	21	3.659	-6.76	0.0202573	87.8534	321.455
12	17	27	22	3.259	-5.68	0.0203008	84.6929	276.014
13	18	28	23	3.356	-6.72	0.0202779	87.7199	294.388
14	19	29	24	3.442	-6.46	0.0202782	91.2105	313.946
15	20	30	25	3.545	-7.92	0.0202655	96.862	343.376
16	21	31	26	3.667	-8.65	0.0202608	102.703	376.612
17	22	32	27	4.269	-8.32	0.0202169	103.597	442.254
18	23	33	28	4.373	-8.1	0.0202141	100.241	438.353
19	24	34	29	4.593	-8.7	0.020189	97.8299	449.333
20	25	35	30	4.709	-8.76	0.0201877	95.8382	451.302
21	26	36	31	4.865	-8.35	0.0201787	95.9768	466.927
22	27	37	32	5.011	-7.69	0.0201763	92.2896	462.463
23	28	38	33	5.609	-7.52	0.0201646	87.7721	492.313
24	29	39	34	5.994	-7.33	0.0201632	86.655	519.41
25	30	40	35	6.158	-6.86	0.0201557	86.3045	531.463
26	31	41	36	5.665	-6.78	0.02017	86.2267	488.474
27	32	42	37	5.11	-6.69	0.0201912	91.522	467.678
28	33	43	38	4.595	-6.51	0.0202076	96.7846	444.725
29	34	44	39	3.967	-6.25	0.0202331	99.467	394.585
30	35	45	40	3.331	-5.88	0.0202813	101.543	338.238
31	36	46	41	2.997	-5.98	0.0203268	100.96	302.579
32	37	47	42	2.766	-5.18	0.0203535	99.18	274.332
33	38	48	43	2.628	-5.64	0.0203915	97.0582	255.069
34	39	49	44	2.647	-5.99	0.0203874	94.2798	249.559
35	40	50	45	2.819	-5.49	0.020364	92.6496	261.179
1	7	19	13	5.023	-8.63	0.0201758	109.803	551.54
2	8	20	14	4.811	-9.64	0.020196	112.174	539.67
3	9	21	15	4.516	-8.79	0.0202104	114.14	515.456
4	10	22	16	3.902	-7.5	0.0202429	118.388	461.948
5	11	23	17	3.358	-8.91	0.020273	119.94	402.758
6	12	24	18	3.179	-8.69	0.0202992	121.523	386.321
7	13	25	19	2.911	-7.36	0.0203455	122.506	356.614
8	14	26	20	2.826	-7.98	0.0203431	116.378	328.883
9	15	27	21	2.77	-6.21	0.020354	109.3	302.76
10	16	28	22	2.756	-5.97	0.0203536	103.913	286.383
11	17	29	23	2.909	-6.96	0.0203409	107.319	312.192
12	18	30	24	2.967	-7.26	0.0203234	110.583	328.098
13	19	31	25	3.118	-7.38	0.0203077	111.06	346.285
14	20	32	26	3.181	-8.96	0.0203084	114.94	365.625
15	21	33	27	3.4	-9.43	0.0202855	121.677	413.702
16	22	34	28	3.685	-8.68	0.020262	125.192	461.334
17	23	35	29	3.683	-8.67	0.0202546	120.756	444.743
18	24	36	30	3.845	-8.79	0.0202465	114.963	442.034
19	25	37	31	3.881	-8.92	0.0202407	113.869	441.925
20	26	38	32	4.074	-8.45	0.0202293	110.363	449.619
21	27	39	33	4.314	-7.91	0.0202197	105.86	456.682
22	28	40	34	4.627	-7.8	0.0202098	102.687	475.131
23	29	41	35	5.005	-7.09	0.020201	100.997	505.49
24	30	42	36	4.79	-6.81	0.0202038	103.048	493.599
25	31	43	37	4.598	-6.64	0.0202148	105.801	486.475
26	32	44	38	4.243	-6.78	0.0202328	111.604	473.537
27	33	45	39	3.714	-6.17	0.020266	116.483	432.619
28	34	46	40	3.261	-8.63	0.0203002	118.043	384.939
29	35	47	41	2.885	-5.5	0.0203353	120.973	349.008
30	36	48	42	2.728	-5.67	0.0203675	121.89	332.515
31	37	49	43	2.559	-4.99	0.0204026	119.067	304.692
32	38	50	44	2.554	-4.75	0.0204002	114.655	292.828
1	8	22	15	3.27	-9.44	0.0202933	134.704	440.481
2	9	23	16	3.04	-8.2	0.0203261	135.992	413.417
3	10	24	17	2.816	-8.33	0.0203412	137.37	386.834
4	11	25	18	2.595	-8.12	0.0203775	139.067	360.879
5	12	26	19	2.473	-7.99	0.0204026	142.931	353.468
6	13	27	20	2.404	-7.2	0.0204239	139.105	334.409
7	14	28	21	2.486	-7.77	0.0203975	128.68	319.899
8	15	29	22	2.498	-7.06	0.0203992	125.188	312.721
9	16	30	23	2.693	-7.96	0.0203587	127.328	342.894
10	17	31	24	2.76	-8.18	0.020355	130.657	360.615
11	18	32	25	2.828	-8.26	0.0203403	131.539	371.993
12	19	33	26	2.901	-8.76	0.0203344	129.772	376.469
13	20	34	27	3.056	-8.67	0.0203166	133.284	407.315
14	21	35	28	3.128	-13.54	0.0203139	142.718	446.42
15	22	36	29	3.286	-8.5	0.0202907	144.837	475.935
16	23	37	30	3.257	-8.54	0.0203031	136.707	445.256
17	24	38	31	3.328	-8.42	0.0202914	131.396	437.287
18	25	39	32	3.452	-8.91	0.0202817	126.751	437.545
19	26	40	33	3.628	-8.62	0.0202675	124.455	451.521
20	27	41	34	3.705	-8.56	0.0202646	122.761	454.83
21	28	42	35	3.99	-8.15	0.0202492	117.574	469.12
22	29	43	36	4.046	-7.12	0.0202497	116.624	471.859
23	30	44	37	4.023	-6.59	0.0202463	121.494	488.771
24	31	45	38	3.89	-6.19	0.0202566	125.238	487.175
25	32	46	39	3.535	-5.53	0.0202834	130.99	463.049
26	33	47	40	3.171	-4.98	0.0203153	135.116	428.452
27	34	48	41	2.984	-5.13	0.0203352	136.885	408.465
28	35	49	42	2.818	-5.12	0.0203555	140.633	396.304
29	36	50	43	2.738	-5.14	0.0203757	140.095	383.58
1	9	25	17	2.341	-7.12	0.0204241	157.1	367.77
2	10	26	18	2.309	-6.85	0.0204357	158.611	366.232
3	11	27	19	2.17	-7.97	0.0204684	160.594	348.489
4	12	28	20	2.244	-7.23	0.0204484	157.745	353.981
5	13	29	21	2.316	-8.31	0.0204399	150.74	349.115
6	14	30	22	2.343	-8.9	0.0204214	145.697	341.369
7	15	31	23	2.531	-6.21	0.0203883	149.216	377.666
8	16	32	24	2.649	-6.65	0.0203635	151.359	400.951
9	17	33	25	2.666	-8.57	0.0203634	152.243	405.879
10	18	34	26	2.693	-9.45	0.0203595	149.8	403.411
11	19	35	27	2.853	-8.31	0.0203389	148.411	423.418
12	20	36	28	2.876	-9.79	0.0203357	153.909	442.642
13	21	37	29	2.85	-7.89	0.020336	161.031	458.937
14	22	38	30	2.929	-6.72	0.0203369	159.976	468.57
15	23	39	31	2.926	-8.25	0.020339	152.711	446.833
16	24	40	32	3.025	-8.1	0.0203273	144.436	436.919
17	25	41	33	3.099	-9.29	0.0203189	140.025	433.939
18	26	42	34	3.149	-8.48	0.020315	139.751	440.075
19	27	43	35	3.228	-8.36	0.0203076	138	445.463
20	28	44	36	3.322	-7.88	0.0203009	135.418	449.858
21	29	45	37	3.475	-7.35	0.0202949	135.859	472.11
22	30	46	38	3.474	-5.97	0.0202874	139.264	483.805
23	31	47	39	3.308	-5.92	0.020303	143.314	474.081
24	32	48	40	3.077	-5.07	0.020328	149.536	460.123
25	33	49	41	2.954	-4.7	0.0203435	153.712	454.065
26	34	50	42	2.979	-4.55	0.0203396	155.432	463.031
1	10	28	19	2.011	-7.3	0.0205107	180.875	363.74
2	11	29	20	2.084	-7.08	0.0204861	175.971	366.725
3	12	30	21	2.241	-12.43	0.0204468	169.81	380.544
4	13	31	22	2.297	-7.99	0.0204392	167.111	383.855
5	14	32	23	2.389	-9.51	0.02041	170.261	406.754
6	15	33	24	2.448	-7.79	0.0203997	174.609	427.444
7	16	34	25	2.59	-8.02	0.0203724	172.544	446.889
8	17	35	26	2.608	-9.73	0.020375	170.22	443.934
9	18	36	27	2.681	-8.55	0.020356	168.125	450.743
10	19	37	28	2.703	-9.16	0.0203584	167.989	454.073
11	20	38	29	2.646	-7.52	0.0203646	172.25	455.774
12	21	39	30	2.6	-4.74	0.0203798	176.198	458.116
13	22	40	31	2.664	-8.45	0.0203706	175.995	468.852
14	23	41	32	2.671	-8.27	0.0203761	165.811	442.88
15	24	42	33	2.74	-8.76	0.0203666	157.216	430.772
16	25	43	34	2.718	-8.86	0.0203704	155.262	422.002
17	26	44	35	2.768	-7.85	0.0203623	154.31	427.129
18	27	45	36	2.742	-8.8	0.0203676	154.52	423.694
19	28	46	37	2.898	-8.14	0.0203486	154.656	448.194
20	29	47	38	3.049	-8.24	0.0203361	155.79	475.003
21	30	48	39	3.014	-6.53	0.0203351	158.685	478.278
22	31	49	40	2.945	-5.42	0.0203452	160.163	471.68
23	32	50	41	2.934	-6.03	0.0203466	165.661	486.05
1	11	31	21	2.093	-7.57	0.0204764	189.593	396.818
2	12	32	22	2.206	-8.6	0.0204521	187.528	413.687
3	13	33	23	2.319	-9.56	0.0204305	192.342	446.042
4	14	34	24	2.386	-9.99	0.0204065	194.305	463.612
5	15	35	25	2.413	-9.08	0.020401	195.393	471.482
6	16	36	26	2.485	-10.86	0.0203848	190.719	473.938
7	17	37	27	2.595	-8.52	0.0203762	187.584	486.779
8	18	38	28	2.57	-8.99	0.0203765	187.146	480.965
9	19	39	29	2.509	-7.31	0.020382	186.206	467.19
10	20	40	30	2.426	-8.56	0.020407	187.721	455.412
11	21	41	31	2.377	-15.43	0.02042	192.999	458.759
12	22	42	32	2.429	-8.59	0.020411	188.788	458.566
13	23	43	33	2.428	-8.23	0.0204144	178.473	433.333
14	24	44	34	2.429	-9.05	0.0204174	172.763	419.643
15	25	45	35	2.424	-8.72	0.0204198	169.495	410.855
16	26	46	36	2.384	-9.69	0.0204248	170.269	405.922
17	27	47	37	2.425	-8.8	0.0204146	172.962	419.433
18	28	48	38	2.581	-7.76	0.0203917	173.71	448.345
19	29	49	39	2.682	-6.99	0.0203846	175.075	469.55
20	30	50	40	2.753	-7.18	0.0203694	176.717	486.502
1	12	34	23	2.216	-9.83	0.0204472	213.692	473.541
2	13	35	24	2.298	-10	0.0204308	217.109	498.915
3	14	36	25	2.344	-9.35	0.020401	214.653	503.147
4	15	37	26	2.369	-8.8	0.0204102	211.559	501.183
5	16	38	27	2.461	-9.65	0.0203931	207.339	510.26
6	17	39	28	2.444	-9.6	0.0204018	207.001	505.911
7	18	40	29	2.397	-10.75	0.0204014	205.543	492.688
8	19	41	30	2.32	-10.34	0.0204241	201.878	468.356
9	20	42	31	2.207	-8.78	0.0204476	204.259	450.8
10	21	43	32	2.169	-7.91	0.02046	205.739	446.248
11	22	44	33	2.223	-7.72	0.0204541	202.234	449.566
12	23	45	34	2.174	-7.8	0.0204695	194.068	421.904
13	24	46	35	2.191	-8.2	0.0204647	186.496	408.612
14	25	47	36	2.117	-8.79	0.0204812	185.594	392.902
15	26	48	37	2.138	-13.79	0.0204735	188.783	403.619
16	27	49	38	2.189	-8.76	0.0204608	191.377	418.924
17	28	50	39	2.326	-7.18	0.0204352	191.099	444.496
1	13	37	25	2.235	-11.58	0.0204415	237.737	531.343
2	14	38	26	2.271	-9.68	0.0204264	231.108	524.846
3	15	39	27	2.341	-9.24	0.0204136	227.978	533.697
4	16	40	28	2.363	-10.94	0.0204105	225.972	533.973
5	17	41	29	2.265	-7.39	0.0204272	225.322	510.354
6	18	42	30	2.16	-8.75	0.0204507	221.427	478.282
7	19	43	31	2.113	-8.02	0.0204653	218.421	461.523
8	20	44	32	2.053	-8.47	0.0204883	217.429	446.381
9	21	45	33	2.008	-9.24	0.0205013	219.063	439.878
10	22	46	34	2.009	-8.19	0.0205061	217.198	436.35
11	23	47	35	1.981	-9.25	0.0205176	208.463	412.966
12	24	48	36	1.941	-10.37	0.0205288	203.133	394.281
13	25	49	37	1.919	-10.05	0.020526	203.533	390.579
14	26	50	38	1.949	-10.4	0.0205147	206.244	401.969
1	14	40	27	2.218	-11.02	0.0204363	248.951	552.174
2	15	41	28	2.216	-10.27	0.020438	247.587	548.652
3	16	42	29	2.168	-9.53	0.0204411	243.914	528.805
4	17	43	30	2.078	-9.61	0.020473	240.204	499.145
5	18	44	31	1.974	-9.45	0.020497	238.065	469.941
6	19	45	32	1.93	-9.65	0.0205152	232.022	447.802
7	20	46	33	1.907	-9.56	0.0205271	230.3	439.182
8	21	47	34	1.847	-9.71	0.0205485	234.131	432.44
9	22	48	35	1.852	-9.26	0.0205513	231.905	429.487
10	23	49	36	1.784	-9.56	0.0205814	224.553	400.603
11	24	50	37	1.793	-9.7	0.0205675	220.749	395.802
1	15	43	29	2.029	-9.91	0.0204737	266.703	541.141
2	16	44	30	1.985	-10.89	0.0204907	259.916	515.934
3	17	45	31	1.902	-10.15	0.0205184	256.644	488.136
4	18	46	32	1.846	-9.25	0.0205336	250.148	461.773
5	19	47	33	1.807	-8.94	0.020554	244.885	442.508
6	20	48	34	1.742	-10.54	0.0205828	246.276	429.013
7	21	49	35	1.729	-9.54	0.0205931	248.223	429.178
8	22	50	36	1.713	-9.77	0.0206075	246.983	423.083
1	16	46	31	1.816	-10.12	0.0205376	276.929	502.903
2	17	47	32	1.778	-9.9	0.0205568	269.624	479.391
3	18	48	33	1.733	-9.8	0.0205747	263.331	456.353
4	19	49	34	1.691	-9.36	0.0205942	259.391	438.63
5	20	50	35	1.65	-9.17	0.0206169	259.268	427.792
1	17	49	33	1.671	-9.93	0.0205977	283.287	473.372
2	18	50	34	1.632	-9.81	0.0206083	277.611	453.061
1	4	2	3	207.006	-6.91	0.0200035	6.22047	1287.67
2	5	3	4	183.221	-6.47	0.0200038	6.36444	1166.1
3	6	4	5	169.804	-7.91	0.020004	6.22273	1056.64
4	7	5	6	146.313	-5.4	0.0200049	6.2405	913.066
5	8	6	7	105.386	-12.61	0.0200072	6.47375	682.243
6	9	7	8	161.397	-8.55	0.0200047	6.16209	994.543
7	10	8	9	161.544	-5.42	0.0200048	6.31557	1020.24
8	11	9	10	184.976	-8.73	0.0200039	6.36299	1177
9	12	10	11	178.6	-6.51	0.0200041	6.26265	1118.51
10	13	11	12	189.593	-7.07	0.0200036	6.36241	1206.27
11	14	12	13	177.084	-6.04	0.0200042	6.41176	1135.42
12	15	13	14	187.87	-6.74	0.0200035	6.13026	1151.69
13	16	14	15	177.426	-6.04	0.0200042	6.56574	1164.93
14	17	15	16	199.463	-7.45	0.0200033	6.12866	1222.44
15	18	16	17	189.474	-6.88	0.0200039	6.39002	1210.74
