50# Number of sensors
#x	y	z
0	0	541.493
0.9871	0	541.333
1.9648	0	541.123
2.9476	0	540.938
3.9377	0	540.798
4.9359	0	540.738
5.9274	0	540.608
6.912	0	540.433
7.8999	0	540.278
8.8862	0	540.113
9.8708	0	539.938
10.8571	0	539.773
11.8302	0	539.543
12.8139	0	539.363
13.8026	0	539.213
14.7853	0	539.028
15.7829	0	538.958
16.7692	0	538.793
17.7689	0	538.768
18.7664	0	538.698
19.7531	0	538.535
20.6841	0	538.17
21.6596	0	537.95
22.6498	0	537.81
23.6483	0	537.755
24.6377	0	537.61
25.6248	0	537.45
26.6056	0	537.255
27.6024	0	537.175
28.5911	0	537.025
29.5826	0	536.895
30.5741	0	536.765
31.5384	0	536.5
32.5092	0	536.26
33.472	0	535.99
34.4194	0	535.67
35.3794	0	535.39
36.349	0	535.145
37.3233	0	534.92
38.301	0	534.71
39.2742	0	534.48
40.2508	0	534.265
41.2326	0	534.075
42.2103	0	533.865
43.1835	0	533.635
44.1623	0	533.43
45.1538	0	533.3
46.1194	0	533.04
47.1012	0	532.85
48.0719	0	532.61
784# Number of data
#a	b	m	n	R	ip	err	k	rhoa
1	2	4	3	105.864	-7.28	0.0200101	19.4897	2063.26
2	3	5	4	110.477	-6.71	0.0200093	19.5546	2160.33
3	4	6	5	93.266	-6.28	0.0200111	19.7817	1844.96
4	5	7	6	57.401	-11.4	0.0200174	18.8222	1080.41
5	6	8	7	40.765	-10.08	0.0200222	17.7253	722.57
6	7	9	8	35.715	-6.71	0.0200283	19.572	699.012
7	8	10	9	96.857	-8.78	0.020011	19.2949	1868.85
8	9	11	10	92.844	-6.43	0.0200117	18.988	1762.92
9	10	12	11	95.74	-9.08	0.0200114	19.1462	1833.06
10	11	13	12	95.01	-7.22	0.0200118	18.7237	1778.94
11	12	14	13	127.477	-7.45	0.0200094	18.8301	2400.4
12	13	15	14	82.883	-6.03	0.0200121	20.0586	1662.52
13	14	16	15	117.237	-8.67	0.0200093	18.2025	2134
14	15	17	16	102.89	-9.33	0.0200117	19.6545	2022.25
15	16	18	17	132.2	-9.41	0.0200084	18.3828	2430.21
16	17	19	18	142.113	-7.66	0.0200091	18.8286	2675.79
17	18	20	19	124.716	-7.6	0.0200097	20.2701	2528.01
18	19	21	20	117.977	-7.27	0.0200107	18.3173	2161.03
19	20	22	21	125.227	-8.27	0.0200096	17.2824	2164.22
20	21	23	22	80.736	-8.42	0.020015	18.9626	1530.97
21	22	24	23	111.727	-8.53	0.0200114	21.2428	2373.39
22	23	25	24	82.502	-7.88	0.020015	19.6516	1621.3
23	24	26	25	128.91	-9.53	0.0200103	18.6559	2404.93
24	25	27	26	108.24	-7.5	0.0200113	18.4255	1994.37
25	26	28	27	168.214	-11.02	0.0200085	18.8423	3169.54
26	27	29	28	126.993	-9.04	0.0200107	19.9828	2537.68
27	28	30	29	133	-11.3	0.0200098	19.3933	2579.31
28	29	31	30	116.913	-9.17	0.0200109	18.3405	2144.25
29	30	32	31	98.469	-9.49	0.0200119	19.9388	1963.36
30	31	33	32	83.482	-8.74	0.020013	18.0592	1507.62
31	32	34	33	76.521	-7.41	0.0200147	18.8302	1440.9
32	33	35	34	65.156	-6.04	0.0200171	20.0747	1307.99
33	34	36	35	92.74	-10.02	0.0200121	18.3368	1700.56
34	35	37	36	99.48	-9.77	0.0200134	19.1405	1904.1
35	36	38	37	59.026	-10.05	0.020021	19.8855	1173.76
36	37	39	38	64.443	-10.88	0.0200187	19.2432	1240.09
37	38	40	39	76.59	-10.06	0.0200164	19.4282	1488.01
38	39	41	40	65.506	-7.7	0.0200184	19.0734	1249.42
39	40	42	41	55.748	-9.67	0.0200203	18.9059	1053.97
40	41	43	42	52.882	-6.62	0.0200201	19.6492	1039.09
41	42	44	43	42.367	-7.27	0.0200262	19.3419	819.457
42	43	45	44	44.06	-5.87	0.0200256	18.8629	831.099
43	44	46	45	43.592	-7.1	0.0200256	18.9774	827.263
44	45	47	46	34.496	-6.5	0.0200258	20.4911	706.863
45	46	48	47	29.81	-2.86	0.0200328	18.4756	550.759
46	47	49	48	31.791	-11.06	0.0200284	18.8189	598.27
47	48	50	49	38.099	-7.78	0.0200231	19.4429	740.757
1	3	7	5	29.764	-6.84	0.0200302	41.2338	1227.28
2	4	8	6	27.5	-10.38	0.020034	39.6893	1091.46
3	5	9	7	41.81	-7.05	0.0200232	35.2313	1473.02
